match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
0024fed8436b48e2,patch5-20260804,steward@e55aab5,steward,e55aab5,maporacle@38e1456,maporacle,38e1456,duel,official,1,0,rating,a,a,1.0,core_destroyed,114,,11,540,5,18,7,520,7,10,ok,,5.9,bob-a,,2026-08-04T18:15:07+0200
002cee63fe6e1df6,patch5-20260804,heimdall@4c0d92e,heimdall,4c0d92e,bastion@840a180,bastion,840a180,atoll,official,1,0,rating,a,a,1.0,core_destroyed,109,,9,500,9,14,22,560,8,25,ok,,7.472,bob-a,,2026-08-04T18:13:19+0200
00b1c0dc9dc488e5,patch5-20260804,odin@5a92113,odin,5a92113,bastion@840a180,bastion,840a180,twins,official,1,0,rating,a,a,1.0,titanium_collected,1000,,3452,14670,13,80,3557,11790,5,119,ok,,46.313,bob-a,,2026-08-04T18:12:33+0200
0208ff94e776c10e,patch5-20260804,bastion@840a180,bastion,840a180,steward@e55aab5,steward,e55aab5,duel,official,1,0,rating,b,b,0.0,core_destroyed,94,,10,420,8,11,9,430,8,9,ok,,5.575,bob-a,,2026-08-04T18:15:56+0200
027962dc47aeb576,patch5-20260804,odin@5a92113,odin,5a92113,maporacle@38e1456,maporacle,38e1456,strait,official,1,0,rating,b,b,0.0,titanium_collected,1000,,9687,8370,6,50,16959,16420,7,102,ok,,12.651,bob-a,,2026-08-04T18:11:20+0200
02e84c4e5d355bec,patch5-20260804,steward@e55aab5,steward,e55aab5,heimdall@4c0d92e,heimdall,4c0d92e,duel,official,1,0,rating,a,a,1.0,core_destroyed,114,,11,540,5,18,7,520,7,10,ok,,6.774,bob-a,,2026-08-04T18:13:54+0200
030aa0ce8bd2f1ef,patch5-20260804,heimdall@4c0d92e,heimdall,4c0d92e,steward@e55aab5,steward,e55aab5,sprint,official,1,0,rating,b,b,0.0,core_destroyed,297,,10,0,7,0,4,0,5,2,ok,,4.274,bob-a,,2026-08-04T18:14:08+0200
043d3ac1d7f11248,patch5-20260804,steward@e55aab5,steward,e55aab5,odin@5a92113,odin,5a92113,string,official,1,0,rating,a,a,1.0,core_destroyed,215,,20,1020,6,10,4,550,5,4,ok,,7.236,bob-a,,2026-08-04T18:12:33+0200
04b4dd5fd02feb59,patch5-20260804,bastion@840a180,bastion,840a180,steward@e55aab5,steward,e55aab5,string,official,1,0,rating,a,a,1.0,core_destroyed,164,,20,920,5,12,31,530,2,9,ok,,8.981,bob-a,,2026-08-04T18:16:22+0200
04c99c1b118a78b5,patch5-20260804,steward@e55aab5,steward,e55aab5,maporacle@38e1456,maporacle,38e1456,showdown,official,1,0,rating,b,b,0.0,core_destroyed,233,,8,0,5,0,10,0,9,5,ok,,11.519,bob-a,,2026-08-04T18:15:39+0200
