bot_id,bot_name,bot_commit,status,matches_planned,matches_completed,matches_reported,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,timeouts,bot_exceptions,close_threshold_us,limit_us
odin@5a92113,odin,5a92113,pass,21,21,21,2987,28,62,692,1487,6780,0,0,9000,10000
odin@38e1456,odin,38e1456,pass,21,21,21,2987,24,50,525,1187,5896,0,0,9000,10000
odin@93e46da,odin,93e46da,pass,21,21,21,3231,22,48,135,1142,6375,0,0,9000,10000
maporacle@38e1456,maporacle,38e1456,pass,21,21,21,3446,14,43,73,1057,5446,0,0,9000,10000
heimdall@38e1456,heimdall,38e1456,pass,21,21,21,3231,12,37,163,962,7320,0,0,9000,10000
heimdall@4c0d92e,heimdall,4c0d92e,pass,21,21,21,2987,18,44,443,1114,5801,0,0,9000,10000
odin@45aa24a,odin,45aa24a,pass,21,21,21,2987,24,55,600,1309,6073,0,0,9000,10000
heimdall@840a180,heimdall,840a180,pass,21,21,21,2987,23,55,581,1344,7091,0,0,9000,10000
bastion@840a180,bastion,840a180,pass,21,21,21,4382,15,35,53,532,6160,0,0,9000,10000
steward@e55aab5,steward,e55aab5,pass,21,21,21,4402,12,30,43,404,5660,0,0,9000,10000
warden_walk@e55aab5,warden_walk,e55aab5,pass,21,21,21,3923,12,31,46,641,6249,0,0,9000,10000
ragnarok@79582fc,ragnarok,79582fc,pass,21,21,21,4400,13,33,44,418,5509,0,0,9000,10000
aegis@e55aab5,aegis,e55aab5,pass,21,21,21,3995,13,44,68,718,6443,0,0,9000,10000
valkyrie@d181312,valkyrie,d181312,pass,21,21,21,4400,23,45,62,577,6298,0,0,9000,10000
warden_walk@3318ffd,warden_walk,3318ffd,pass,21,21,21,4009,25,55,77,881,6490,0,0,9000,10000
heimdall@daf0de0,heimdall,daf0de0,pass,21,21,21,3294,22,45,120,1153,6302,0,0,9000,10000
warden@3318ffd,warden,3318ffd,pass,21,21,21,4400,22,42,57,547,5773,0,0,9000,10000
vigil@e267eeb,vigil,e267eeb,pass,21,21,21,4334,23,41,50,593,5197,0,0,9000,10000
ragnarok_fair@79582fc,ragnarok_fair,79582fc,pass,21,21,21,3484,12,35,72,912,7590,0,0,9000,10000
vigil@18b749d,vigil,18b749d,pass,21,21,21,4341,12,22,31,466,4528,0,0,9000,10000
vigil@1b5f3d1,vigil,1b5f3d1,pass,21,21,21,4334,22,32,43,614,4040,0,0,9000,10000
tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,pass,21,21,21,4341,10,37,46,596,3755,0,0,9000,10000
vigil@bf9b3e3,vigil,bf9b3e3,pass,21,21,21,4334,24,42,54,607,4186,0,0,9000,10000
pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,pass,21,21,21,3897,22,44,401,1567,6276,0,0,9000,10000
valkyrie@30d0491,valkyrie,30d0491,pass,21,21,21,4429,22,40,55,538,5574,0,0,9000,10000
tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,pass,21,21,21,4412,13,47,528,1478,4499,0,0,9000,10000
vigil@60d5afa,vigil,60d5afa,pass,21,21,21,4185,26,42,53,783,5655,0,0,9000,10000
valkyrie_atk2@7227061,valkyrie_atk2,7227061,pass,21,21,21,4562,23,50,79,912,6323,0,0,9000,10000
prospect@bf9b3e3,prospect,bf9b3e3,pass,21,21,21,3192,13,35,285,849,4001,0,0,9000,10000
pantheon_replica_day3@840a180,pantheon_replica_day3,840a180,pass,21,21,21,3912,17,47,376,1745,6501,0,0,9000,10000
tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,pass,21,21,21,4423,14,47,653,1302,4426,0,0,9000,10000
pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,pass,21,21,21,3646,23,47,482,1231,6655,0,0,9000,10000
janus@8a1e7a1,janus,8a1e7a1,pass,21,21,21,3259,12,33,327,883,3879,0,0,9000,10000
valkyrie_econ2@7227061,valkyrie_econ2,7227061,pass,21,21,21,4325,12,33,162,759,5759,0,0,9000,10000
prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,pass,21,21,21,3192,12,23,264,779,4446,0,0,9000,10000
gobbleglitch@6cdc440,gobbleglitch,6cdc440,pass,21,21,21,4477,5,33,50,583,3274,0,0,9000,10000
tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,pass,21,21,21,4412,12,41,506,1353,4161,0,0,9000,10000
vanguard_oracle@902be71,vanguard_oracle,902be71,pass,21,21,21,4441,11,29,63,1534,8330,0,0,9000,10000
vanguard@9932bec,vanguard,9932bec,close,21,21,21,3808,5,26,377,1277,9176,0,0,9000,10000
vanguard_oracle@75591b7,vanguard_oracle,75591b7,pass,21,21,21,4523,5,24,51,1221,8865,0,0,9000,10000
vanguard@818f3b4,vanguard,818f3b4,pass,21,21,21,3802,13,36,508,1447,8472,0,0,9000,10000
vanguard@c407e79,vanguard,c407e79,pass,21,21,21,3857,11,31,458,1313,8397,0,0,9000,10000
vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,pass,21,21,21,4549,7,25,47,1215,7232,0,0,9000,10000
v233_i@902be71,v233_i,902be71,pass,21,21,21,4061,11,32,368,1314,7382,0,0,9000,10000
v233_g@9713344,v233_g,9713344,pass,21,21,21,3388,11,31,609,1386,4643,0,0,9000,10000
vanguard@da3fd8a,vanguard,da3fd8a,pass,21,21,21,3661,16,38,582,1360,4889,0,0,9000,10000
undertow@fdc1e1f,undertow,fdc1e1f,pass,21,21,21,3305,14,378,1306,1957,5596,0,0,9000,10000
undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,pass,21,21,21,3273,13,136,1273,2218,7741,0,0,9000,10000
undertow_oracle@75591b7,undertow_oracle,75591b7,close,21,21,21,3273,6,123,958,1944,9488,0,0,9000,10000
undertow@da3fd8a,undertow,da3fd8a,pass,21,21,21,3305,5,200,873,1459,5050,0,0,9000,10000
gobbleglitch@e808e1d,gobbleglitch,e808e1d,pass,21,21,21,4189,5,27,41,399,3442,0,0,9000,10000
undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,pass,21,21,21,3305,8,222,987,1721,6173,0,0,9000,10000
tempest_oracle_ferry@fdc1e1f,tempest_oracle_ferry,fdc1e1f,pass,21,21,21,3603,10,31,450,2073,4372,0,0,9000,10000
autistimusprime@ecd4d24,autistimusprime,ecd4d24,pass,21,21,21,4189,11,42,54,555,3276,0,0,9000,10000
