rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,3360,2414,22,924,0.7217,1.127698,195.9,1.127698,0.191929,0.045109,0.0,-0.022037,7,-6
2,prospect@bf9b3e3,prospect,bf9b3e3,3360,2396,22,942,0.7164,1.086212,188.7,1.086212,0.208193,-0.247975,0.0,-0.023599,8,-6
3,janus@8a1e7a1,janus,8a1e7a1,3360,2354,22,984,0.7039,1.015338,176.4,1.015338,0.15772,0.061555,0.0,-0.145637,13,-10
4,odin@38e1456,odin,38e1456,3360,2390,5,965,0.7121,0.986853,171.4,0.986853,-0.017213,-0.309227,0.084809,0.0,1,3
5,warden_walk@e55aab5,warden_walk,e55aab5,3360,2370,6,984,0.7063,0.972265,168.9,0.972265,0.507917,-0.605163,0.0,-0.079821,10,-5
6,steward@e55aab5,steward,e55aab5,3360,2337,11,1012,0.6972,0.932531,162.0,0.932531,0.287943,-0.585068,0.522804,-0.0,1,5
7,odin@93e46da,odin,93e46da,3360,2349,0,1011,0.6991,0.909932,158.1,0.909932,0.05267,-0.419308,0.0,-0.026476,9,-2
8,odin@5a92113,odin,5a92113,3360,2335,5,1020,0.6957,0.909477,158.0,0.909477,0.023676,-0.328668,0.0,-0.158057,14,-6
9,vigil@e267eeb,vigil,e267eeb,3360,2269,7,1084,0.6763,0.884248,153.6,0.884248,0.266859,-0.381124,0.199359,0.0,1,8
10,heimdall@daf0de0,heimdall,daf0de0,3360,2310,5,1045,0.6882,0.878927,152.7,0.878927,0.055707,-0.373073,0.098942,0.0,1,9
11,maporacle@38e1456,maporacle,38e1456,3360,2304,0,1056,0.6857,0.870717,151.3,0.870717,0.023824,-0.417708,0.0,-0.007744,6,5
12,heimdall@840a180,heimdall,840a180,3360,2292,4,1064,0.6827,0.867077,150.6,0.867077,0.038852,-0.318019,0.094086,0.0,1,11
13,vigil@60d5afa,vigil,60d5afa,3360,2223,7,1130,0.6626,0.866288,150.5,0.866288,0.408964,-0.23808,0.0,-0.420303,30,-17
14,heimdall@4c0d92e,heimdall,4c0d92e,3360,2284,5,1071,0.6805,0.842083,146.3,0.842083,0.064368,-0.258703,0.0,-0.265823,20,-6
15,bastion@840a180,bastion,840a180,3360,2273,10,1077,0.678,0.841754,146.2,0.841754,0.311797,-0.556868,0.0,-0.111727,12,3
16,warden_walk@3318ffd,warden_walk,3318ffd,3360,2271,9,1080,0.6772,0.839254,145.8,0.839254,0.546035,-0.492495,0.0,-0.234768,17,-1
17,odin@45aa24a,odin,45aa24a,3360,2278,5,1077,0.6787,0.835895,145.2,0.835895,0.058877,-0.30265,0.0,-0.245559,19,-2
18,aegis@e55aab5,aegis,e55aab5,3360,2265,6,1089,0.675,0.830734,144.3,0.830734,0.493782,-0.493782,0.0,-0.290448,22,-4
19,heimdall@38e1456,heimdall,38e1456,3360,2278,0,1082,0.678,0.816291,141.8,0.816291,0.105545,-0.358368,0.0,-0.183408,16,3
20,vigil@18b749d,vigil,18b749d,3360,2167,5,1188,0.6457,0.795009,138.1,0.795009,0.462953,0.046921,0.0,-0.444486,32,-12
21,ragnarok_fair@79582fc,ragnarok_fair,79582fc,3360,2209,16,1135,0.6598,0.778729,135.3,0.778729,0.433988,-0.109769,0.0,-0.478726,33,-12
22,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,3360,2145,12,1203,0.6402,0.766729,133.2,0.766729,0.509581,0.105386,0.0,-0.588151,38,-16
23,warden@3318ffd,warden,3318ffd,3360,2174,11,1175,0.6487,0.71738,124.6,0.71738,0.382123,-0.498003,0.0,-0.30134,24,-1
24,vigil@1b5f3d1,vigil,1b5f3d1,3360,2092,19,1249,0.6254,0.681759,118.4,0.681759,0.536267,-0.163034,0.0,-0.608242,39,-15
25,valkyrie_econ2@7227061,valkyrie_econ2,7227061,3360,2144,5,1211,0.6388,0.647784,112.5,0.647784,0.387156,-0.327744,0.0,-0.091419,11,14
26,valkyrie@d181312,valkyrie,d181312,3360,2108,11,1241,0.629,0.634683,110.3,0.634683,0.388852,-0.425888,0.0,-0.370684,27,-1
27,ragnarok@79582fc,ragnarok,79582fc,3360,2092,12,1256,0.6244,0.616028,107.0,0.616028,0.410184,-0.410243,0.0,-0.39576,28,-1
28,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,3360,2048,0,1312,0.6095,0.604956,105.1,0.604956,-0.039044,0.647781,0.0,-0.24518,18,10
29,vanguard@9932bec,vanguard,9932bec,3360,1974,0,1386,0.5875,0.598305,103.9,0.598305,0.13758,1.337183,0.0,-0.7139,43,-14
30,vigil@bf9b3e3,vigil,bf9b3e3,3360,2036,19,1305,0.6088,0.585077,101.6,0.585077,0.459163,-0.164603,0.0,-0.701727,41,-11
31,undertow@fdc1e1f,undertow,fdc1e1f,3360,2005,3,1352,0.5972,0.584672,101.6,0.584672,-0.204839,0.818231,0.0,-0.415459,29,2
32,vanguard@da3fd8a,vanguard,da3fd8a,3360,1903,0,1457,0.5664,0.555765,96.5,0.555765,-0.176279,1.397826,0.0,-0.702848,42,-10
33,undertow_oracle@75591b7,undertow_oracle,75591b7,3360,1984,0,1376,0.5905,0.511513,88.9,0.511513,0.049,0.609571,0.0,-0.291382,23,10
34,vanguard@c407e79,vanguard,c407e79,3360,1957,1,1402,0.5826,0.503108,87.4,0.503108,0.230069,1.001895,0.0,-0.569541,37,-3
35,v233_i@902be71,v233_i,902be71,3360,1929,1,1430,0.5743,0.485789,84.4,0.485789,0.069269,0.976849,0.0,-0.727588,44,-9
36,undertow@da3fd8a,undertow,da3fd8a,3360,1918,3,1439,0.5713,0.463016,80.4,0.463016,-0.21464,0.802558,0.0,-0.345608,25,11
37,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,3360,1889,0,1471,0.5622,0.422677,73.4,0.422677,0.408263,0.782005,0.0,-0.88611,47,-10
38,valkyrie_atk2@7227061,valkyrie_atk2,7227061,3360,1956,6,1398,0.583,0.403391,70.1,0.403391,0.460077,-0.435546,0.0,-0.493177,34,4
39,v233_g@9713344,v233_g,9713344,3360,1778,0,1582,0.5292,0.378697,65.8,0.378697,-0.241173,1.374016,0.0,-0.934122,50,-11
40,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,3360,1920,2,1438,0.5717,0.321598,55.9,0.321598,0.145422,-0.447619,0.0,-0.356293,26,14
41,valkyrie@30d0491,valkyrie,30d0491,3360,1876,14,1470,0.5604,0.295174,51.3,0.295174,0.500611,-0.454461,0.0,-0.551074,36,5
42,vanguard_oracle@902be71,vanguard_oracle,902be71,3360,1836,8,1516,0.5476,0.292826,50.9,0.292826,-0.034335,0.436559,0.0,-0.435929,31,11
43,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,3360,1796,3,1561,0.535,0.291418,50.6,0.291418,-0.197129,0.857395,0.0,-0.547051,35,8
44,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,3360,1887,9,1464,0.5629,0.287215,49.9,0.287215,0.08736,-0.476254,0.0,-0.159653,15,29
