rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,4508,3314,17,1177,0.737,1.160173,201.5,1.160173,0.058456,-0.691771,0.0,-0.119545,6,-5
2,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,4504,3259,28,1217,0.7267,1.110034,192.8,1.110034,0.021686,-0.659588,0.0,-0.089612,5,-3
3,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,4516,3279,15,1222,0.7277,1.102731,191.6,1.102731,-0.107666,-0.690638,0.0,-0.059719,3,0
4,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,4472,3217,28,1227,0.7225,1.092432,189.8,1.092432,0.028221,-0.731065,0.0,-0.029853,2,2
5,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,4515,3262,21,1232,0.7248,1.090934,189.5,1.090934,-0.034613,-0.719404,1.0,0.0,1,4
6,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,4511,3269,15,1227,0.7263,1.089385,189.2,1.089385,-0.081846,-0.815566,0.0,-0.059719,3,3
7,skadi@6a2af02,skadi,6a2af02,4518,3102,47,1369,0.6918,0.993877,172.7,0.993877,0.39541,-0.166641,0.0,-0.424157,10,-3
8,skadi@aad5f44,skadi,aad5f44,4518,3059,63,1396,0.684,0.963057,167.3,0.963057,0.305966,-0.03108,0.0,-0.300754,8,0
9,skadi@821d792,skadi,821d792,4505,3053,60,1392,0.6844,0.957555,166.3,0.957555,0.277239,-0.056878,0.0,-0.239951,7,2
10,spar_econ@aad5f44,spar_econ,aad5f44,4030,2597,21,1412,0.647,0.870539,151.2,0.870539,0.2885,0.679064,0.0,-0.477628,15,-5
11,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,4502,3006,41,1455,0.6723,0.842867,146.4,0.842867,-0.019042,-0.619976,0.0,-0.424157,10,1
12,skadi@1e4eddf,skadi,1e4eddf,4517,2980,54,1483,0.6657,0.842856,146.4,0.842856,0.250447,-0.279963,0.0,-0.455476,13,-1
13,vidar@8b87da5,vidar,8b87da5,4505,2907,38,1560,0.6495,0.805312,139.9,0.805312,0.419436,-0.033761,0.0,-0.487015,16,-3
14,vidar@561800a,vidar,561800a,4504,2876,54,1574,0.6445,0.77345,134.4,0.77345,0.401295,-0.058,0.0,-0.583146,20,-6
15,vidar@ee47958,vidar,ee47958,4506,2875,54,1577,0.644,0.757634,131.6,0.757634,0.313291,-0.075845,0.0,-0.583146,20,-5
16,vidar_r2@c8b850e,vidar_r2,c8b850e,4497,2888,37,1572,0.6463,0.74649,129.7,0.74649,0.255338,-0.22072,0.0,-0.455476,13,3
17,vidar_r3@c8b850e,vidar_r3,c8b850e,4508,2889,36,1583,0.6449,0.737996,128.2,0.737996,0.2562,-0.269715,0.0,-0.393043,9,8
18,vidar_r1@c8b850e,vidar_r1,c8b850e,4515,2863,55,1597,0.6402,0.736625,128.0,0.736625,0.340688,-0.165607,0.0,-0.583146,20,-2
19,vidar_noring@1b7a73a,vidar_noring,1b7a73a,4518,2665,24,1829,0.5925,0.527519,91.6,0.527519,0.333347,-0.006905,0.0,-0.487015,16,3
20,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,4518,2639,24,1855,0.5868,0.481056,83.6,0.481056,0.230015,-0.106603,0.0,-0.424157,10,10
21,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,4518,2648,33,1837,0.5898,0.471981,82.0,0.471981,-0.100936,-0.612943,0.0,-0.648695,25,-4
22,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,4510,2595,34,1881,0.5792,0.4312,74.9,0.4312,0.336023,-0.255013,0.0,-1.118613,41,-19
23,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,4512,2592,34,1886,0.5782,0.427886,74.3,0.427886,0.397187,-0.338133,0.0,-1.118613,41,-18
24,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,4518,2512,30,1976,0.5593,0.390968,67.9,0.390968,0.46657,0.136425,0.0,-1.039772,35,-11
25,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,4513,2559,31,1923,0.5705,0.385421,67.0,0.385421,0.037511,-0.760449,0.0,-0.890315,28,-3
26,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,4514,2548,34,1932,0.5682,0.382149,66.4,0.382149,0.369745,-0.248155,0.0,-1.376992,55,-29
27,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,4518,2463,34,2021,0.5489,0.331876,57.7,0.331876,0.466596,-0.036559,0.0,-1.039772,35,-8
28,vidar@1b7a73a,vidar,1b7a73a,4512,2460,34,2018,0.549,0.314133,54.6,0.314133,0.397214,-0.111318,0.0,-1.039772,35,-7
29,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,4517,2422,17,2078,0.5381,0.299815,52.1,0.299815,0.497774,0.194838,0.0,-1.039772,35,-6
30,vidar@544eeb3,vidar,544eeb3,4517,2400,35,2082,0.5352,0.256256,44.5,0.256256,0.521939,-0.125945,0.0,-1.200742,48,-18
31,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,4512,2354,20,2138,0.5239,0.221934,38.6,0.221934,-0.200548,0.201605,0.0,-0.550831,18,13
32,undertow@fdc1e1f,undertow,fdc1e1f,4518,2319,0,2199,0.5133,0.217792,37.8,0.217792,-0.313854,0.290805,0.0,-0.963793,32,0
33,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,4504,2248,0,2256,0.4991,0.203391,35.3,0.203391,-0.686051,0.832967,0.0,-0.615761,23,10
34,vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,4518,2324,38,2156,0.5186,0.171991,29.9,0.171991,0.456244,0.068969,0.0,-1.159237,45,-11
35,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,4508,2278,0,2230,0.5053,0.167304,29.1,0.167304,-0.355781,0.329923,0.0,-0.819027,27,8
36,prospect@bf9b3e3,prospect,bf9b3e3,4504,2302,19,2183,0.5132,0.16159,28.1,0.16159,-0.19119,0.124356,0.0,-0.550831,18,18
37,heimdall@daf0de0,heimdall,daf0de0,4510,2302,12,2196,0.5118,0.15167,26.3,0.15167,0.170797,0.0649,0.0,-1.118613,41,-4
38,janus@8a1e7a1,janus,8a1e7a1,4504,2280,19,2205,0.5083,0.150639,26.2,0.150639,-0.269072,0.31717,0.0,-0.681974,26,12
39,vidar_png@1b7a73a,vidar_png,1b7a73a,4518,2285,26,2207,0.5086,0.135572,23.6,0.135572,0.452687,0.225048,0.0,-1.159237,45,-6
40,warden_walk@e55aab5,warden_walk,e55aab5,4500,2265,11,2224,0.5046,0.115163,20.0,0.115163,0.269431,0.30345,0.0,-1.472472,56,-16
41,odin@38e1456,odin,38e1456,4516,2240,4,2272,0.4965,0.092772,16.1,0.092772,0.205635,0.29924,0.0,-1.039772,35,6
42,vidar_ggng@1b7a73a,vidar_ggng,1b7a73a,4514,2213,16,2285,0.492,0.062188,10.8,0.062188,0.606749,0.308319,0.0,-1.331235,54,-12
43,bastion@840a180,bastion,840a180,4504,2188,12,2304,0.4871,0.059138,10.3,0.059138,0.160367,-0.051439,0.0,-1.472472,56,-13
44,vidar2@544eeb3,vidar2,544eeb3,4509,2169,45,2295,0.486,0.046039,8.0,0.046039,0.236596,0.390763,0.0,-0.963793,32,12
45,vigil@e267eeb,vigil,e267eeb,4503,2158,19,2326,0.4813,0.016312,2.8,0.016312,-0.211506,0.633815,0.0,-0.926762,31,14
46,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,4517,2181,5,2331,0.4834,0.008144,1.4,0.008144,-0.539573,-0.456235,0.0,-0.615761,23,23
47,v233_i@902be71,v233_i,902be71,4508,2095,0,2413,0.4647,0.007384,1.3,0.007384,-0.277199,0.591482,0.0,-0.890315,28,19
48,odin@93e46da,odin,93e46da,4515,2136,6,2373,0.4738,-0.005925,-1.0,-0.005925,0.235429,0.407659,0.0,-0.890315,28,20
49,aegis@e55aab5,aegis,e55aab5,4511,2146,8,2357,0.4766,-0.007224,-1.3,-0.007224,-0.004435,0.351631,0.0,-1.286665,51,-2
50,ragnarok_fair@79582fc,ragnarok_fair,79582fc,4517,2103,12,2402,0.4669,-0.042758,-7.4,-0.042758,0.087482,0.360131,0.0,-1.472472,56,-6
51,maporacle@38e1456,maporacle,38e1456,4511,2124,5,2382,0.4714,-0.042837,-7.4,-0.042837,0.226909,0.263482,0.0,-1.118613,41,10
52,steward_reinforced@a8dc58a,steward_reinforced,a8dc58a,4508,2091,23,2394,0.4664,-0.064683,-11.2,-0.064683,-0.138964,-0.633081,0.0,-1.286665,51,1
53,tyr@2e6c876,tyr,2e6c876,4511,2072,20,2419,0.4615,-0.068687,-11.9,-0.068687,0.545233,0.447503,0.0,-1.522427,60,-7
54,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,4515,1988,21,2506,0.4426,-0.128389,-22.3,-0.128389,-0.216209,0.572043,0.0,-1.159237,45,9
55,mjolnir@2e6c876,mjolnir,2e6c876,4513,2005,28,2480,0.4474,-0.151572,-26.3,-0.151572,0.426229,0.443487,0.0,-1.574036,61,-6
56,valkyrie_econ2@7227061,valkyrie_econ2,7227061,4510,1923,13,2574,0.4278,-0.238819,-41.5,-0.238819,0.063615,0.787634,0.0,-1.039772,35,21
57,valkyrie_atk2@7227061,valkyrie_atk2,7227061,4510,1870,10,2630,0.4157,-0.278224,-48.3,-0.278224,-0.143536,0.332992,0.0,-1.286665,51,6
58,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,4510,1841,0,2669,0.4082,-0.280065,-48.7,-0.280065,-0.456173,0.461605,0.0,-0.963793,32,26
59,jonbot_190003d@90fc9f3,jonbot_190003d,90fc9f3,4511,1421,0,3090,0.315,-0.804839,-139.8,-0.804839,-0.702067,-0.436589,0.0,-1.200742,48,11
60,gobbleglitch@6cdc440,gobbleglitch,6cdc440,4509,1325,1,3183,0.294,-0.893385,-155.2,-0.893385,-0.384527,0.032525,0.0,-1.574036,61,-1
61,e_t4l7@9e77076,e_t4l7,9e77076,4518,1215,0,3303,0.2689,-1.129148,-196.2,-1.129148,-0.936634,0.740382,0.0,-1.200742,48,13
62,vigil_reinforcements@2e6c876,vigil_reinforcements,2e6c876,4506,1147,6,3353,0.2552,-1.135631,-197.3,-1.135631,-0.102051,-0.118284,0.0,-2.071073,64,-2
63,jonbot@90fc9f3,jonbot,90fc9f3,4503,1009,0,3494,0.2241,-1.325196,-230.2,-1.325196,-0.214791,0.146115,0.0,-2.230841,65,-2
64,tempest@90fc9f3,tempest,90fc9f3,4502,913,1,3588,0.2029,-1.448369,-251.6,-1.448369,-0.142975,-0.454142,0.0,-2.898277,67,-3
65,strategist@2e6eca5,strategist,2e6eca5,4500,894,3,3603,0.199,-1.583122,-275.0,-1.583122,-1.443927,-0.237439,0.0,-1.472472,56,9
66,strategist@2a19238,strategist,2a19238,4496,885,3,3608,0.1972,-1.602958,-278.5,-1.602958,-1.43333,-0.314098,0.0,-1.928961,63,3
67,casemate_oracle@90fc9f3,casemate_oracle,90fc9f3,4502,557,0,3945,0.1237,-2.08636,-362.4,-2.08636,-0.73517,-0.258169,0.0,-2.414289,66,1
68,warden_@d142ef0,warden_,d142ef0,2070,230,0,1840,0.1111,-2.541295,-441.5,-2.541295,-0.428561,0.968175,0.0,-4.110874,69,-1
69,mistral@90fc9f3,mistral,90fc9f3,4487,332,2,4153,0.0742,-2.919254,-507.1,-2.919254,-0.47837,0.009614,0.0,-3.250374,68,1
70,lockin@90fc9f3,lockin,90fc9f3,4510,17,6,4487,0.0044,-4.584491,-796.4,-4.584491,-0.4589,-0.470398,0.0,-4.890349,70,0
