rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,4512,3316,17,1179,0.7368,1.143832,198.7,1.143832,-0.555713,-0.426845,0.0,-0.12177,7,-6
2,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,4478,3223,28,1227,0.7229,1.113172,193.4,1.113172,-0.228148,-0.415315,0.114787,0.0,1,1
3,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,4525,3284,15,1226,0.7274,1.090026,189.4,1.090026,-0.571761,-0.235105,0.0,-0.053639,5,-2
4,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,4510,3261,28,1221,0.7262,1.086121,188.7,1.086121,-0.610539,-0.315907,0.0,-0.091254,6,-2
5,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,4518,3273,15,1230,0.7261,1.077581,187.2,1.077581,-0.631813,-0.331512,0.0,-0.053123,4,1
6,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,4520,3264,21,1235,0.7244,1.070829,186.0,1.070829,-0.632008,-0.314012,0.875029,-0.0,1,5
7,skadi@6a2af02,skadi,6a2af02,4524,3107,47,1370,0.692,0.998178,173.4,0.998178,0.091775,-0.352702,0.0,-0.39244,11,-4
8,skadi@821d792,skadi,821d792,4508,3056,60,1392,0.6846,0.971475,168.8,0.971475,0.208093,-0.243824,0.0,-0.21076,8,0
9,skadi@aad5f44,skadi,aad5f44,4521,3060,63,1398,0.6838,0.942298,163.7,0.942298,-0.094541,-0.217756,0.0,-0.295914,9,0
10,spar_econ@aad5f44,spar_econ,aad5f44,4025,2591,21,1413,0.6463,0.854605,148.5,0.854605,0.451846,0.050902,0.0,-0.460812,16,-6
11,skadi@1e4eddf,skadi,1e4eddf,4522,2982,54,1486,0.6654,0.826246,143.5,0.826246,-0.241961,-0.319512,0.0,-0.447097,14,-3
12,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,4508,3007,41,1460,0.6716,0.812695,141.2,0.812695,-0.65315,-0.280389,0.0,-0.43307,13,-1
13,vidar@8b87da5,vidar,8b87da5,4513,2913,38,1562,0.6497,0.807427,140.3,0.807427,0.161407,-0.381392,0.0,-0.465109,17,-4
14,vidar@ee47958,vidar,ee47958,4510,2878,54,1578,0.6441,0.758897,131.8,0.758897,0.08113,-0.300466,0.0,-0.561191,21,-7
15,vidar@561800a,vidar,561800a,4509,2878,54,1577,0.6443,0.757817,131.6,0.757817,-0.034169,-0.335847,0.0,-0.573247,22,-7
16,vidar_r3@c8b850e,vidar_r3,c8b850e,4515,2894,36,1585,0.645,0.738707,128.3,0.738707,-0.075886,-0.34929,0.0,-0.373929,10,6
17,vidar_r2@c8b850e,vidar_r2,c8b850e,4498,2889,37,1572,0.6464,0.732187,127.2,0.732187,-0.19763,-0.29539,0.0,-0.447097,14,3
18,vidar_r1@c8b850e,vidar_r1,c8b850e,4518,2863,55,1600,0.6398,0.698843,121.4,0.698843,-0.339381,-0.345468,0.0,-0.589638,23,-5
19,vidar_noring@1b7a73a,vidar_noring,1b7a73a,4518,2665,24,1829,0.5925,0.531073,92.3,0.531073,0.199908,-0.221599,0.0,-0.480751,18,1
20,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,4522,2641,24,1857,0.5867,0.474281,82.4,0.474281,-0.031561,-0.212951,0.0,-0.419837,12,8
21,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,4524,2650,33,1841,0.5894,0.457054,79.4,0.457054,-0.565614,-0.238529,0.0,-0.651895,26,-5
22,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,4515,2593,34,1888,0.5781,0.414665,72.0,0.414665,-0.169879,-0.39824,0.0,-1.103373,43,-21
23,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,4514,2596,34,1884,0.5789,0.413193,71.8,0.413193,-0.187225,-0.295506,0.0,-1.1068,44,-21
24,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,4523,2516,30,1977,0.5596,0.400935,69.6,0.400935,0.413745,-0.253858,0.0,-1.017994,37,-13
25,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,4517,2549,34,1934,0.5681,0.369572,64.2,0.369572,-0.109738,-0.330657,0.0,-1.338512,55,-30
26,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,4518,2560,31,1927,0.5701,0.364519,63.3,0.364519,-0.645972,-0.388374,0.0,-0.905193,31,-5
27,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,4524,2468,34,2022,0.5493,0.345501,60.0,0.345501,0.309087,-0.355502,0.0,-1.007229,36,-9
28,v233_h@90fc9f3,v233_h,90fc9f3,1773,973,0,800,0.5488,0.335243,58.2,0.335243,0.203828,1.927453,0.010184,-0.0,1,27
29,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,4520,2424,17,2079,0.5382,0.302787,52.6,0.302787,0.356763,-0.326254,0.0,-1.03303,39,-10
30,vidar@1b7a73a,vidar,1b7a73a,4516,2461,34,2021,0.5487,0.297775,51.7,0.297775,-0.052269,-0.317095,0.0,-1.02909,38,-8
31,vidar@544eeb3,vidar,544eeb3,4521,2401,35,2085,0.5349,0.240713,41.8,0.240713,-0.001375,-0.434201,0.0,-1.187715,48,-17
32,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,4560,2386,20,2154,0.5254,0.228355,39.7,0.228355,0.248162,0.195076,0.0,-0.553371,20,12
