match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
0077a34b4ecd8693,vidar-attack,steward@a8b3d07,steward,a8b3d07,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,sweden,official,1,0,rating,a,a,1.0,core_destroyed,338,,41,2390,14,64,26,0,3,4,ok,,19.85,bob-a,,2026-08-04T23:25:33+0200
00d04cc938c81e16,vidar-attack,vidar@a8b3d07,vidar,a8b3d07,tyr@a8b3d07,tyr,a8b3d07,sweden,official,1,0,rating,a,a,1.0,core_destroyed,518,,1571,4820,10,30,1372,1730,5,16,ok,,8.95,bob-a,,2026-08-04T23:13:30+0200
01253f592dfa201c,vidar-attack,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,prospect@a8b3d07,prospect,a8b3d07,showdown,official,1,0,rating,a,draw,0.5,coinflip,1000,,16,0,6,2,16,0,5,8,ok,,11.208,bob-a,,2026-08-04T23:21:52+0200
0164f7fdae05e1eb,vidar-attack,vidar@a8b3d07,vidar,a8b3d07,steward@a8b3d07,steward,a8b3d07,vault,official,1,0,rating,a,a,1.0,core_destroyed,300,,21,1450,8,50,85,2250,14,55,ok,,8.184,bob-a,,2026-08-04T23:14:47+0200
0188f959203dac4c,vidar-attack,vidar@a8b3d07,vidar,a8b3d07,tyr@a8b3d07,tyr,a8b3d07,fjord,official,1,0,rating,a,a,1.0,core_destroyed,251,,183,2420,10,60,300,1860,11,54,ok,,4.291,bob-a,,2026-08-04T23:13:15+0200
0306755c41076192,vidar-attack,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,valkyrie@a8b3d07,valkyrie,a8b3d07,vase,official,1,0,rating,b,b,0.0,titanium_collected,1000,,1571,70,6,6,4599,2450,4,13,ok,,11.018,bob-a,,2026-08-04T23:27:18+0200
03ef9a69e0fb3240,vidar-attack,odin@a8b3d07,odin,a8b3d07,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,vase,official,1,0,rating,a,a,1.0,titanium_stored,1000,,4786,2460,1,7,3981,2460,4,9,ok,,10.254,bob-a,,2026-08-04T23:16:18+0200
03f177df004b5873,vidar-attack,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,fjord,official,1,0,rating,a,a,1.0,titanium_collected,1000,,6039,8940,6,39,4919,7950,9,69,ok,,23.537,bob-a,,2026-08-04T23:28:03+0200
0440357575637ff7,vidar-attack,valkyrie@a8b3d07,valkyrie,a8b3d07,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,quarry,official,1,0,rating,b,b,0.0,titanium_collected,1000,,11596,17470,7,132,18021,22260,16,158,ok,,65.229,bob-a,,2026-08-04T23:27:19+0200
05e067dc43b0285c,vidar-attack,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,tyr@a8b3d07,tyr,a8b3d07,skerry,official,1,0,rating,b,b,0.0,core_destroyed,76,,21,590,9,43,22,490,8,34,ok,,4.076,bob-a,,2026-08-04T23:17:02+0200
05e89eafc93579d2,vidar-attack,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,pantheon_replica_day3@a8b3d07,pantheon_replica_day3,a8b3d07,quarry,official,1,0,rating,b,b,0.0,core_destroyed,80,,22,410,9,46,30,570,6,39,ok,,6.12,bob-a,,2026-08-04T23:22:51+0200
064bc28189ab035a,vidar-attack,vidar@a8b3d07,vidar,a8b3d07,valkyrie@a8b3d07,valkyrie,a8b3d07,quarry,official,1,0,rating,b,b,0.0,core_destroyed,139,,2,310,10,16,2,300,6,16,ok,,5.335,bob-a,,2026-08-04T23:14:54+0200
06e4074bf8bebb56,vidar-attack,vidar@a8b3d07,vidar,a8b3d07,pantheon_replica_day3@a8b3d07,pantheon_replica_day3,a8b3d07,string,official,1,0,rating,b,b,0.0,titanium_collected,1000,,3723,2490,5,5,8961,7320,5,14,ok,,8.736,bob-a,,2026-08-04T23:14:30+0200
074facfa20a16da3,vidar-attack,pantheon_replica_day3@a8b3d07,pantheon_replica_day3,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,duel,official,1,0,rating,b,b,0.0,core_destroyed,117,,20,280,3,9,9,280,7,6,ok,,4.326,bob-a,,2026-08-04T23:14:16+0200
075a0e63f8ac58d6,vidar-attack,valkyrie@a8b3d07,valkyrie,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,strait,official,1,0,rating,b,b,0.0,core_destroyed,191,,1219,1680,8,77,64,1230,9,74,ok,,11.963,bob-a,,2026-08-04T23:15:08+0200
07bee6d4b66e9cb7,vidar-attack,odin@a8b3d07,odin,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,hive,official,1,0,rating,a,a,1.0,core_destroyed,151,,25,1070,10,72,40,740,7,68,ok,,3.272,bob-a,,2026-08-04T23:12:55+0200
08364824cb176fe8,vidar-attack,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,vigil@a8b3d07,vigil,a8b3d07,bridge,official,1,0,rating,b,b,0.0,titanium_collected,1000,,1503,0,6,13,9483,7230,3,17,ok,,13.843,bob-a,,2026-08-04T23:17:40+0200
088c17228726cfdb,vidar-attack,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,steward@a8b3d07,steward,a8b3d07,duel,official,1,0,rating,b,b,0.0,core_destroyed,129,,109,790,11,14,41,610,1,7,ok,,7.284,bob-a,,2026-08-04T23:24:08+0200
08dd16867c1095fd,vidar-attack,vigil@a8b3d07,vigil,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,vase,official,1,0,rating,a,a,1.0,core_destroyed,79,,10,160,6,7,35,0,6,4,ok,,2.24,bob-a,,2026-08-04T23:13:40+0200
091c6b79b238f272,vidar-attack,steward@a8b3d07,steward,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,sweden,official,1,0,rating,b,b,0.0,core_destroyed,303,,153,1170,12,15,10,0,5,14,ok,,6.488,bob-a,,2026-08-04T23:14:44+0200
0989c6ee1765bcb3,vidar-attack,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,steward@a8b3d07,steward,a8b3d07,string,official,1,0,rating,b,b,0.0,core_destroyed,210,,31,280,1,0,70,1460,7,19,ok,,14.276,bob-a,,2026-08-04T23:25:19+0200
099bf5d8709a3567,vidar-attack,vidar@a8b3d07,vidar,a8b3d07,odin@a8b3d07,odin,a8b3d07,crossfire,official,1,0,rating,b,b,0.0,core_destroyed,163,,59,290,7,11,162,820,6,13,ok,,2.512,bob-a,,2026-08-04T23:12:54+0200
09e72da3da4c502b,vidar-attack,vidar@a8b3d07,vidar,a8b3d07,tyr@a8b3d07,tyr,a8b3d07,twins,official,1,0,rating,a,a,1.0,titanium_collected,1000,,11588,11490,3,73,5881,5530,10,22,ok,,6.173,bob-a,,2026-08-04T23:13:27+0200
09fe369300720ea5,vidar-attack,odin@a8b3d07,odin,a8b3d07,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,strait,official,1,0,rating,a,a,1.0,core_destroyed,101,,30,680,9,47,29,690,9,64,ok,,10.614,bob-a,,2026-08-04T23:16:04+0200
0a2d3cf6932bcf60,vidar-attack,steward@a8b3d07,steward,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,hive,official,1,0,rating,b,b,0.0,core_destroyed,123,,10,640,11,31,29,990,10,58,ok,,3.848,bob-a,,2026-08-04T23:14:34+0200
0a482502d29ff2aa,vidar-attack,tyr@a8b3d07,tyr,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,string,official,1,0,rating,a,a,1.0,titanium_collected,1000,,7076,5130,0,15,3759,2570,6,12,ok,,3.758,bob-a,,2026-08-04T23:13:24+0200
0a504f19c5154853,vidar-attack,pantheon_replica_day3@a8b3d07,pantheon_replica_day3,a8b3d07,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,sprint,official,1,0,rating,a,a,1.0,core_destroyed,285,,9,0,8,9,10,0,4,1,ok,,8.379,bob-a,,2026-08-04T23:23:11+0200
0a56666c68d1d6a7,vidar-attack,valkyrie@a8b3d07,valkyrie,a8b3d07,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,jackpot,official,1,0,rating,b,b,0.0,titanium_collected,1000,,6391,4910,7,26,9485,9420,8,40,ok,,23.812,bob-a,,2026-08-04T23:26:29+0200
0a6c3e40c03e1ff1,vidar-attack,ragnarok@a8b3d07,ragnarok,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,pinch,official,1,0,rating,b,b,0.0,core_destroyed,153,,512,400,6,8,263,1660,10,59,ok,,3.153,bob-a,,2026-08-04T23:13:50+0200
0a8a5785b0c75eec,vidar-attack,pantheon_replica_day3@a8b3d07,pantheon_replica_day3,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,vault,official,1,0,rating,a,a,1.0,core_destroyed,83,,10,360,4,42,32,370,10,10,ok,,2.766,bob-a,,2026-08-04T23:14:27+0200
0a9af26d6ba9898c,vidar-attack,pantheon_replica_day3@a8b3d07,pantheon_replica_day3,a8b3d07,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,vase,official,1,0,rating,b,b,0.0,titanium_collected,1000,,23,70,3,14,49,90,9,6,ok,,38.687,bob-a,,2026-08-04T23:24:06+0200
0aa2f0c0c67c51f9,vidar-attack,odin@a8b3d07,odin,a8b3d07,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,twins,official,1,0,rating,b,b,0.0,titanium_collected,1000,,6198,7040,7,60,11691,15530,8,71,ok,,18.971,bob-a,,2026-08-04T23:16:21+0200
0bed9b956a875ce1,vidar-attack,pantheon_replica_day3@a8b3d07,pantheon_replica_day3,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,showdown,official,1,0,rating,a,a,1.0,core_destroyed,361,,9,0,6,1,10,0,4,9,ok,,3.453,bob-a,,2026-08-04T23:14:22+0200
0c12b0d96fa9e82a,vidar-attack,ragnarok@a8b3d07,ragnarok,a8b3d07,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,vault,official,1,0,rating,b,b,0.0,titanium_collected,1000,,48,1910,7,4,5635,11820,22,71,ok,,62.181,bob-a,,2026-08-04T23:21:58+0200
0d02e8cea0fc50ba,vidar-attack,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,pantheon_replica_day3@a8b3d07,pantheon_replica_day3,a8b3d07,duel,official,1,0,rating,a,a,1.0,core_destroyed,608,,49,3300,18,17,1947,2940,3,7,ok,,39.454,bob-a,,2026-08-04T23:22:59+0200
0d19ebdcc2cd25e9,vidar-attack,vidar@a8b3d07,vidar,a8b3d07,prospect@a8b3d07,prospect,a8b3d07,duel,official,1,0,rating,a,a,1.0,core_destroyed,64,,20,150,6,6,381,270,5,9,ok,,1.732,bob-a,,2026-08-04T23:13:59+0200
0d96cccce053c50d,vidar-attack,pantheon_replica_day3@a8b3d07,pantheon_replica_day3,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,string,official,1,0,rating,b,b,0.0,core_destroyed,120,,115,520,6,6,16,280,5,10,ok,,3.379,bob-a,,2026-08-04T23:14:25+0200
0e272007d37eb6bd,vidar-attack,ragnarok@a8b3d07,ragnarok,a8b3d07,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,fjord,official,1,0,rating,b,b,0.0,core_destroyed,486,,2384,3930,5,5,43,4980,20,64,ok,,22.716,bob-a,,2026-08-04T23:19:52+0200
0e3b652b303aba1f,vidar-attack,tyr@a8b3d07,tyr,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,quarry,official,1,0,rating,b,b,0.0,titanium_collected,1000,,10281,12220,5,119,18885,21920,9,144,ok,,14.22,bob-a,,2026-08-04T23:13:29+0200
0e3eef9c33bdb432,vidar-attack,prospect@a8b3d07,prospect,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,twins,official,1,0,rating,a,a,1.0,core_destroyed,90,,9,370,9,10,8,200,5,21,ok,,2.239,bob-a,,2026-08-04T23:14:09+0200
0e97e4fcaefeebd5,vidar-attack,vidar@a8b3d07,vidar,a8b3d07,valkyrie@a8b3d07,valkyrie,a8b3d07,twins,official,1,0,rating,a,a,1.0,core_destroyed,129,,52,660,7,44,658,820,5,53,ok,,8.244,bob-a,,2026-08-04T23:15:08+0200
0f44f00fd2ec4dab,vidar-attack,vidar@a8b3d07,vidar,a8b3d07,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,duel,official,1,0,rating,a,a,1.0,core_destroyed,737,,9,610,3,2,10,3220,13,26,ok,,23.841,bob-a,,2026-08-04T23:28:00+0200
10a2714a1250521a,vidar-attack,vidar@a8b3d07,vidar,a8b3d07,prospect@a8b3d07,prospect,a8b3d07,strait,official,1,0,rating,a,a,1.0,core_destroyed,201,,55,480,11,19,1123,1650,4,44,ok,,4.706,bob-a,,2026-08-04T23:14:09+0200
10fc72ac64111046,vidar-attack,vidar@a8b3d07,vidar,a8b3d07,vigil@a8b3d07,vigil,a8b3d07,hive,official,1,0,rating,b,b,0.0,core_destroyed,147,,60,140,4,22,20,610,12,17,ok,,3.342,bob-a,,2026-08-04T23:13:34+0200
114a0f33a2a00a35,vidar-attack,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,ragnarok@a8b3d07,ragnarok,a8b3d07,twins,official,1,0,rating,a,a,1.0,core_destroyed,386,,62,5980,28,90,85,2300,4,35,ok,,23.575,bob-a,,2026-08-04T23:21:07+0200
11978fba5a6c1d3d,vidar-attack,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,odin@a8b3d07,odin,a8b3d07,sweden,official,1,0,rating,a,a,1.0,titanium_collected,1000,,7122,7350,8,32,2017,140,2,10,ok,,26.312,bob-a,,2026-08-04T23:16:25+0200
1325676289a1d52c,vidar-attack,vigil@a8b3d07,vigil,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,atoll,official,1,0,rating,b,b,0.0,core_destroyed,405,,1273,2190,6,1,96,3560,21,48,ok,,8.706,bob-a,,2026-08-04T23:13:33+0200
13297645034a691b,vidar-attack,vigil@a8b3d07,vigil,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,vault,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2146,1870,4,3,9404,11650,13,86,ok,,15.979,bob-a,,2026-08-04T23:13:56+0200
141635e2e410a861,vidar-attack,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,runestone,official,1,0,rating,b,b,0.0,core_destroyed,120,,49,630,7,58,30,1120,8,70,ok,,6.359,bob-a,,2026-08-04T23:28:06+0200
14327fa7c15b9dc7,vidar-attack,pantheon_replica_day3@a8b3d07,pantheon_replica_day3,a8b3d07,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,skerry,official,1,0,rating,a,a,1.0,core_destroyed,89,,35,580,4,40,0,380,10,25,ok,,6.032,bob-a,,2026-08-04T23:23:06+0200
14425258151d2c1b,vidar-attack,valkyrie@a8b3d07,valkyrie,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,vase,official,1,0,rating,a,a,1.0,core_destroyed,349,,10,560,5,8,30,1030,13,24,ok,,14.801,bob-a,,2026-08-04T23:15:17+0200
1452833c0e60a7ba,vidar-attack,steward@a8b3d07,steward,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,duel,official,1,0,rating,a,a,1.0,core_destroyed,70,,18,310,8,10,10,190,6,9,ok,,2.649,bob-a,,2026-08-04T23:14:30+0200
145956b39235156e,vidar-attack,vidar@a8b3d07,vidar,a8b3d07,odin@a8b3d07,odin,a8b3d07,string,official,1,0,rating,b,b,0.0,titanium_collected,1000,,3119,2490,7,9,4152,3080,0,9,ok,,4.336,bob-a,,2026-08-04T23:13:05+0200
150a75a0b8597819,vidar-attack,steward@a8b3d07,steward,a8b3d07,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,pinch,official,1,0,rating,b,b,0.0,titanium_collected,1000,,43,4360,1,11,244,5010,24,49,ok,,64.431,bob-a,,2026-08-04T23:25:24+0200
15387370c3f4aac4,vidar-attack,ragnarok@a8b3d07,ragnarok,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,hive,official,1,0,rating,b,b,0.0,core_destroyed,123,,10,640,11,31,29,990,10,58,ok,,4.057,bob-a,,2026-08-04T23:13:50+0200
1560cde0a9a5bf69,vidar-attack,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,pantheon_replica_day3@a8b3d07,pantheon_replica_day3,a8b3d07,skerry,official,1,0,rating,a,a,1.0,titanium_collected,1000,,11615,15290,23,74,10734,10690,1,54,ok,,63.012,bob-a,,2026-08-04T23:24:02+0200
164e0625257c1c57,vidar-attack,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,ragnarok@a8b3d07,ragnarok,a8b3d07,fjord,official,1,0,rating,b,b,0.0,core_destroyed,657,,34,5600,25,81,2105,4840,7,28,ok,,60.105,bob-a,,2026-08-04T23:20:28+0200
16f4acc2afffd925,vidar-attack,ragnarok@a8b3d07,ragnarok,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,twins,official,1,0,rating,b,b,0.0,core_destroyed,189,,1178,1630,5,72,30,1600,8,76,ok,,3.998,bob-a,,2026-08-04T23:13:57+0200
1769eb3088a339a6,vidar-attack,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,vidar@a8b3d07,vidar,a8b3d07,duel,official,1,0,rating,b,b,0.0,core_destroyed,301,,1683,1620,0,1,28,2090,19,40,ok,,9.929,bob-a,,2026-08-04T23:27:48+0200
17ae0937f1346e87,vidar-attack,vidar@a8b3d07,vidar,a8b3d07,vigil@a8b3d07,vigil,a8b3d07,pinch,official,1,0,rating,a,a,1.0,core_destroyed,107,,13,460,7,9,7,220,6,5,ok,,2.224,bob-a,,2026-08-04T23:13:34+0200
17d7cb9192b03547,vidar-attack,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,valkyrie@a8b3d07,valkyrie,a8b3d07,aurora,official,1,0,rating,b,b,0.0,core_destroyed,507,,4230,9160,10,142,2625,3900,13,7,ok,,26.296,bob-a,,2026-08-04T23:25:56+0200
17f740084ff8b54a,vidar-attack,odin@a8b3d07,odin,a8b3d07,vidar_econwar@a8b3d07,vidar_econwar,a8b3d07,hive,official,1,0,rating,a,a,1.0,titanium_collected,1000,,8280,10980,6,172,10026,10180,11,90,ok,,64.524,bob-a,,2026-08-04T23:16:28+0200
