match_id,tournament_id,bot_id,bot_name,bot_commit,map,seed,guard_tle_ms,result,match_status,error,turns,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,max_round,timeouts,bot_exceptions,terminal_starts,close_threshold_us,limit_us,host,lsf_job,finished_at
25fafed0fa880975,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,atoll,1,12,pass,ok,,27,147,29,39,301,616,2230,2,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:51+0200
03a4849495050255,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,aurora,1,12,pass,ok,,27,136,36,47,391,1140,3251,4,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:51+0200
780bdb80bb5328bf,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,bridge,1,12,pass,ok,,27,140,42,53,470,708,1773,19,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:52+0200
a649e74d221e6af3,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,crossfire,1,12,pass,ok,,27,159,28,44,78,606,2345,2,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:52+0200
98e38810e99a300d,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,duel,1,12,pass,ok,,27,157,29,45,97,529,2216,18,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:52+0200
4b46cd1c24c17ae7,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,fjord,1,12,pass,ok,,27,140,33,45,310,780,2505,2,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:53+0200
0271f73030ffacb7,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,hive,1,12,pass,ok,,27,137,38,48,498,1138,3466,6,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:54+0200
4dbf6a5f1dad6aef,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,jackpot,1,12,pass,ok,,27,142,28,43,300,656,1619,2,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:54+0200
78e9cbab299e0e30,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,longship,1,12,pass,ok,,27,138,23,40,362,861,2047,2,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:54+0200
d0a45afeae2169d5,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,pinch,1,12,pass,ok,,27,145,31,44,369,690,2155,20,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:54+0200
38e57e1ad86589ed,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,quarry,1,12,pass,ok,,27,132,30,44,481,1012,2917,2,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:54+0200
eae8219dea6793f8,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,runestone,1,12,pass,ok,,27,140,34,61,571,1356,4548,20,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:57+0200
c42ab6431c0baae6,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,showdown,1,12,pass,ok,,27,183,35,46,56,509,2825,11,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:55+0200
8e8c1b0d1df1743a,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,skerry,1,12,pass,ok,,27,141,32,47,351,903,2738,4,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:56+0200
24eda77d2bbf3e2d,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,sprint,1,12,pass,ok,,27,167,47,63,95,771,2704,13,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:56+0200
37a62e7bcfb75033,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,strait,1,12,pass,ok,,27,136,36,44,477,984,2059,2,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:56+0200
58313441dd724538,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,string,1,12,pass,ok,,27,162,24,44,80,439,1913,13,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:56+0200
5366cadc43561d75,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,sweden,1,12,pass,ok,,27,136,34,46,393,797,1511,22,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:57+0200
335d759c997490e9,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,twins,1,12,pass,ok,,27,136,43,55,563,1258,2745,2,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:57+0200
86f3e32d535c9e0e,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,vase,1,12,pass,ok,,27,155,19,36,87,444,1307,7,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:57+0200
8a40d771d73a4083,vidar-decomp,vidar_saveup@bf000ae,vidar_saveup,bf000ae,vault,1,12,pass,ok,,27,137,32,45,397,832,2963,2,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:57+0200
99c239a88e90a061,vidar-decomp,vidar_seatcover@bf000ae,vidar_seatcover,bf000ae,atoll,1,12,pass,ok,,27,147,30,43,305,663,2355,2,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:58+0200
52a67bd73693730f,vidar-decomp,vidar_seatcover@bf000ae,vidar_seatcover,bf000ae,aurora,1,12,pass,ok,,27,136,47,62,556,1655,5035,2,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:58+0200
3246b8e63e1b43b1,vidar-decomp,vidar_seatcover@bf000ae,vidar_seatcover,bf000ae,bridge,1,12,pass,ok,,27,140,29,39,326,527,1335,19,0,0,0,9000,10000,bob-a,,2026-08-04T23:44:58+0200
