match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
000494a3a6ab4a9f,vidar-def2,steward@980883f,steward,980883f,vidar_tank@980883f,vidar_tank,980883f,generated/stress/stress-20260801-012-mirror-x-24x29,all,1,0,rating,b,b,0.0,core_destroyed,119,,87,270,7,17,61,1080,10,45,ok,,3.452,bob-a,,2026-08-05T02:35:01+0200
00074a22265f0f90,vidar-def2,vidar_mender@980883f,vidar_mender,980883f,ragnarok@980883f,ragnarok,980883f,generated/random-20260731-022-mirror-y-11x18,all,1,0,rating,a,a,1.0,core_destroyed,120,,30,290,7,13,300,20,4,2,ok,,1.881,bob-a,,2026-08-05T02:40:49+0200
00076865c9aeede2,vidar-def2,ragnarok@980883f,ragnarok,980883f,vidar_tank@980883f,vidar_tank,980883f,generated/stress/stress-20260801-005-mirror-x-21x24,all,1,0,rating,a,a,1.0,core_destroyed,110,,94,1200,11,55,13,440,7,51,ok,,2.674,bob-a,,2026-08-05T02:31:56+0200
000fef044c706c4a,vidar-def2,vidar_tank@980883f,vidar_tank,980883f,steward@980883f,steward,980883f,generated/stress/stress-20260801-017-rot-10x24,all,1,0,rating,a,a,1.0,core_destroyed,144,,41,980,12,22,406,1290,5,27,ok,,3.883,bob-a,,2026-08-05T02:35:04+0200
0010d54d1d781117,vidar-def2,vidar_mender@980883f,vidar_mender,980883f,steward@980883f,steward,980883f,generated/stress/stress-20260801-011-rot-30x8,all,1,0,rating,a,a,1.0,core_destroyed,77,,49,420,8,17,10,280,9,14,ok,,2.626,bob-a,,2026-08-05T02:44:15+0200
001e1edd9ecb72c1,vidar-def2,valkyrie@980883f,valkyrie,980883f,vidar_mender@980883f,vidar_mender,980883f,generated/representative/representative-20260801-sprint-0,all,1,0,rating,b,b,0.0,core_destroyed,313,,10,0,7,0,9,0,5,4,ok,,2.577,bob-a,,2026-08-05T02:45:03+0200
003686bf3c05651a,vidar-def2,vidar_mender@980883f,vidar_mender,980883f,tyr@980883f,tyr,980883f,generated/stress/stress-20260801-016-rot-25x14,all,1,0,rating,a,a,1.0,core_destroyed,157,,9,0,7,3,10,0,4,3,ok,,1.858,bob-a,,2026-08-05T02:39:00+0200
0036d2a3ea26f158,vidar-def2,vidar_tank@980883f,vidar_tank,980883f,pantheon_replica_day3@980883f,pantheon_replica_day3,980883f,generated/stress/stress-20260801-013-mirror-x-29x19,all,1,0,rating,a,a,1.0,core_destroyed,84,,20,280,6,17,70,370,6,28,ok,,2.456,bob-a,,2026-08-05T02:33:54+0200
0044c215e8a93e76,vidar-def2,vidar_mender@980883f,vidar_mender,980883f,vidar_tank@980883f,vidar_tank,980883f,sweden,all,1,0,rating,b,b,0.0,core_destroyed,184,,29,70,5,16,20,230,2,20,ok,,2.997,bob-a,,2026-08-05T02:45:39+0200
0047b475f4a41255,vidar-def2,vidar_tank@980883f,vidar_tank,980883f,ragnarok@980883f,ragnarok,980883f,generated/random-20260731-002-rot-11x15,all,1,0,rating,a,a,1.0,core_destroyed,733,,10,0,6,3,10,0,6,0,ok,,4.375,bob-a,,2026-08-05T02:31:27+0200
006a4c61574273ff,vidar-def2,tyr@980883f,tyr,980883f,vidar_mender@980883f,vidar_mender,980883f,generated/random-20260731-014-mirror-x-27x14,all,1,0,rating,a,a,1.0,core_destroyed,98,,13,450,8,13,59,450,7,13,ok,,2.155,bob-a,,2026-08-05T02:38:01+0200
0081c620ea542d0e,vidar-def2,vidar_tank@980883f,vidar_tank,980883f,pantheon_replica_day3@980883f,pantheon_replica_day3,980883f,generated/random-20260731-014-mirror-x-27x14,all,1,0,rating,a,a,1.0,core_destroyed,130,,28,480,9,14,10,0,7,11,ok,,2.806,bob-a,,2026-08-05T02:33:28+0200
008481abad496504,vidar-def2,vidar_tank@980883f,vidar_tank,980883f,tyr@980883f,tyr,980883f,generated/stress/stress-20260801-009-rot-15x14,all,1,0,rating,a,a,1.0,core_destroyed,435,,10,1060,18,22,158,20,3,0,ok,,6.4,bob-a,,2026-08-05T02:29:44+0200
008e95537710ac6a,vidar-def2,steward@980883f,steward,980883f,vidar_mender@980883f,vidar_mender,980883f,generated/representative/representative-20260801-longship-0,all,1,0,rating,b,b,0.0,core_destroyed,483,,10,3590,6,12,1463,6980,22,91,ok,,12.879,bob-a,,2026-08-05T02:44:05+0200
0094658d08293fb6,vidar-def2,valkyrie@980883f,valkyrie,980883f,vidar_mender@980883f,vidar_mender,980883f,generated/random-20260731-004-mirror-y-8x15,all,1,0,rating,a,a,1.0,core_destroyed,101,,9,0,6,1,10,140,6,8,ok,,1.977,bob-a,,2026-08-05T02:44:39+0200
0096851de4606658,vidar-def2,vidar_tank@980883f,vidar_tank,980883f,vigil@980883f,vigil,980883f,generated/stress/stress-20260801-013-mirror-x-29x19,all,1,0,rating,a,a,1.0,core_destroyed,86,,46,480,6,42,359,480,8,13,ok,,2.453,bob-a,,2026-08-05T02:31:00+0200
00a7488f1e56967d,vidar-def2,vidar_mender@980883f,vidar_mender,980883f,prospect@980883f,prospect,980883f,generated/stress/stress-20260801-017-rot-10x24,all,1,0,rating,a,a,1.0,core_destroyed,168,,70,610,7,26,1132,1580,6,35,ok,,2.446,bob-a,,2026-08-05T02:42:14+0200
00d90623be530c6e,vidar-def2,vidar_tank@980883f,vidar_tank,980883f,vigil@980883f,vigil,980883f,generated/representative/representative-20260801-skerry-0,all,1,0,rating,a,a,1.0,core_destroyed,94,,21,580,9,22,121,540,5,12,ok,,2.4,bob-a,,2026-08-05T02:30:44+0200
00e2418720a6081d,vidar-def2,vidar_mender@980883f,vidar_mender,980883f,ragnarok@980883f,ragnarok,980883f,generated/representative/representative-20260801-duel-0,all,1,0,rating,a,a,1.0,core_destroyed,71,,10,160,6,14,258,210,6,19,ok,,2.249,bob-a,,2026-08-05T02:40:53+0200
010532b799211397,vidar-def2,vidar_tank@980883f,vidar_tank,980883f,prospect@980883f,prospect,980883f,generated/stress/stress-20260801-001-rot-10x8,all,1,0,rating,b,b,0.0,core_destroyed,97,,10,0,4,2,9,240,4,12,ok,,1.504,bob-a,,2026-08-05T02:32:50+0200
010eebb40825d3af,vidar-def2,vidar_mender@980883f,vidar_mender,980883f,ragnarok@980883f,ragnarok,980883f,longship,all,1,0,rating,a,a,1.0,core_destroyed,158,,203,860,8,41,707,1130,9,48,ok,,3.24,bob-a,,2026-08-05T02:40:30+0200
01226edd73b98316,vidar-def2,vidar_tank@980883f,vidar_tank,980883f,steward@980883f,steward,980883f,generated/random-20260731-005-mirror-y-14x20,all,1,0,rating,b,b,0.0,core_destroyed,131,,4,200,6,3,1,690,10,23,ok,,2.748,bob-a,,2026-08-05T02:34:19+0200
0122b7fd48d49672,vidar-def2,ragnarok@980883f,ragnarok,980883f,vidar_tank@980883f,vidar_tank,980883f,aurora,all,1,0,rating,b,b,0.0,core_destroyed,142,,713,1180,6,56,20,730,9,41,ok,,2.935,bob-a,,2026-08-05T02:31:12+0200
012475675f9c6581,vidar-def2,pantheon_replica_day3@980883f,pantheon_replica_day3,980883f,vidar_mender@980883f,vidar_mender,980883f,generated/representative/representative-20260801-hive-1,all,1,0,rating,b,b,0.0,core_destroyed,145,,10,440,7,22,7,430,7,29,ok,,2.635,bob-a,,2026-08-05T02:42:53+0200
01381819efaebd9b,vidar-def2,steward@980883f,steward,980883f,vidar_tank@980883f,vidar_tank,980883f,fjord,all,1,0,rating,b,b,0.0,core_destroyed,100,,94,730,8,36,31,670,9,18,ok,,2.694,bob-a,,2026-08-05T02:34:04+0200
013acc4735570c49,vidar-def2,vidar_mender@980883f,vidar_mender,980883f,steward@980883f,steward,980883f,generated/representative/representative-20260801-quarry-0,all,1,0,rating,a,a,1.0,core_destroyed,95,,30,710,9,19,58,780,10,30,ok,,3.106,bob-a,,2026-08-05T02:43:58+0200
01433ef44bd69d8b,vidar-def2,pantheon_replica_day3@980883f,pantheon_replica_day3,980883f,vidar_mender@980883f,vidar_mender,980883f,generated/representative/representative-20260801-twins-0,all,1,0,rating,b,b,0.0,core_destroyed,106,,41,820,6,45,16,630,8,12,ok,,2.399,bob-a,,2026-08-05T02:43:00+0200
016c956f3ee1ab9c,vidar-def2,vidar_mender@980883f,vidar_mender,980883f,valkyrie@980883f,valkyrie,980883f,generated/random-20260731-010-rot-12x12,all,1,0,rating,b,b,0.0,core_destroyed,116,,16,60,6,6,20,270,6,10,ok,,1.714,bob-a,,2026-08-05T02:44:42+0200
016f71654098c58b,vidar-def2,vigil@980883f,vigil,980883f,vidar_tank@980883f,vidar_tank,980883f,generated/representative/representative-20260801-vault-0,all,1,0,rating,b,b,0.0,core_destroyed,474,,4060,4410,6,17,10,1210,9,24,ok,,5.288,bob-a,,2026-08-05T02:30:53+0200
0176f23418fbe945,vidar-def2,steward@980883f,steward,980883f,vidar_mender@980883f,vidar_mender,980883f,generated/representative/representative-20260801-strait-1,all,1,0,rating,b,b,0.0,core_destroyed,83,,6,290,10,15,8,320,6,36,ok,,2.423,bob-a,,2026-08-05T02:44:04+0200
017a333c8a2c4d9c,vidar-def2,vigil@980883f,vigil,980883f,vidar_tank@980883f,vidar_tank,980883f,generated/stress/stress-20260801-004-mirror-x-17x9,all,1,0,rating,b,b,0.0,core_destroyed,439,,11,10,0,1,60,470,4,6,ok,,4.004,bob-a,,2026-08-05T02:30:57+0200
018f98f7b2f1b343,vidar-def2,prospect@980883f,prospect,980883f,vidar_tank@980883f,vidar_tank,980883f,generated/random-20260731-009-mirror-x-20x30,all,1,0,rating,b,b,0.0,core_destroyed,861,,1550,20,1,0,10,0,7,3,ok,,2.903,bob-a,,2026-08-05T02:32:25+0200
019e90f3e6b76027,vidar-def2,vidar_tank@980883f,vidar_tank,980883f,pantheon_replica_day3@980883f,pantheon_replica_day3,980883f,generated/representative/representative-20260801-pinch-1,all,1,0,rating,b,b,0.0,core_destroyed,161,,10,60,9,15,10,0,5,13,ok,,2.72,bob-a,,2026-08-05T02:33:41+0200
019face4a9c965e6,vidar-def2,vidar_tank@980883f,vidar_tank,980883f,odin@980883f,odin,980883f,generated/stress/stress-20260801-022-mirror-x-11x28,all,1,0,rating,a,a,1.0,titanium_collected,1000,,2998,2200,10,26,1198,0,3,1,ok,,6.641,bob-a,,2026-08-05T02:28:20+0200
01b2ed9ade23c79f,vidar-def2,ragnarok@980883f,ragnarok,980883f,vidar_tank@980883f,vidar_tank,980883f,generated/random-20260731-023-mirror-x-24x16,all,1,0,rating,b,b,0.0,core_destroyed,227,,101,380,5,42,10,270,8,18,ok,,2.173,bob-a,,2026-08-05T02:31:36+0200
