match_id,tournament_id,bot_id,bot_name,bot_commit,map,seed,guard_tle_ms,result,match_status,error,turns,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,max_round,timeouts,bot_exceptions,terminal_starts,close_threshold_us,limit_us,host,lsf_job,finished_at
af1705f98690429b,vidar-econ,odin@f1cacb3,odin,f1cacb3,atoll,1,12,pass,ok,,27,161,25,54,81,922,4415,26,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:06+0200
864068d6dc941af7,vidar-econ,odin@f1cacb3,odin,f1cacb3,aurora,1,12,pass,ok,,27,136,31,48,396,1086,3308,2,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:06+0200
8b79a7a9c7ba9235,vidar-econ,odin@f1cacb3,odin,f1cacb3,bridge,1,12,pass,ok,,27,143,18,41,333,535,1465,26,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:06+0200
00fdf049d4298945,vidar-econ,odin@f1cacb3,odin,f1cacb3,crossfire,1,12,pass,ok,,27,177,19,43,64,678,2973,6,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:06+0200
ef88c0e235e96c5f,vidar-econ,odin@f1cacb3,odin,f1cacb3,duel,1,12,pass,ok,,27,189,17,33,51,427,1711,2,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:07+0200
44d40be4fe9bf97c,vidar-econ,odin@f1cacb3,odin,f1cacb3,fjord,1,12,pass,ok,,27,141,34,60,441,1179,3862,26,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:07+0200
12160c022b913a1b,vidar-econ,odin@f1cacb3,odin,f1cacb3,hive,1,12,pass,ok,,27,137,41,55,502,1212,4961,2,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:07+0200
ac5f95a30ad2bfb5,vidar-econ,odin@f1cacb3,odin,f1cacb3,jackpot,1,12,pass,ok,,27,144,28,44,294,673,1975,26,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:07+0200
3df54fbff877b149,vidar-econ,odin@f1cacb3,odin,f1cacb3,longship,1,12,pass,ok,,27,138,37,59,540,1376,2950,14,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:07+0200
d55dad89b3a609e9,vidar-econ,odin@f1cacb3,odin,f1cacb3,pinch,1,12,pass,ok,,27,150,21,47,330,774,2807,26,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:07+0200
aca36f99ffbd40c8,vidar-econ,odin@f1cacb3,odin,f1cacb3,quarry,1,12,pass,ok,,27,132,32,46,464,1059,3138,4,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:07+0200
6755d5fe2693329a,vidar-econ,odin@f1cacb3,odin,f1cacb3,runestone,1,12,pass,ok,,27,144,22,40,326,845,4110,26,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:07+0200
568be51f0c0a4a08,vidar-econ,odin@f1cacb3,odin,f1cacb3,showdown,1,12,pass,ok,,27,200,17,27,40,378,2047,2,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:07+0200
4b934ff36e7bb17c,vidar-econ,odin@f1cacb3,odin,f1cacb3,skerry,1,12,pass,ok,,27,141,31,44,401,789,3358,26,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:07+0200
ecbf2442b0fddad6,vidar-econ,odin@f1cacb3,odin,f1cacb3,sprint,1,12,pass,ok,,27,200,8,19,39,295,1914,7,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:08+0200
46655a71aaa2e93f,vidar-econ,odin@f1cacb3,odin,f1cacb3,strait,1,12,pass,ok,,27,136,21,33,317,741,2633,2,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:08+0200
5cf39df8f6dded31,vidar-econ,odin@f1cacb3,odin,f1cacb3,string,1,12,pass,ok,,27,179,7,20,46,436,1274,15,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:08+0200
7efb4b44d312b42f,vidar-econ,odin@f1cacb3,odin,f1cacb3,sweden,1,12,pass,ok,,27,136,25,42,372,797,1558,24,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:08+0200
bb2a05cffcfa39ae,vidar-econ,odin@f1cacb3,odin,f1cacb3,twins,1,12,pass,ok,,27,136,21,32,306,618,1431,21,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:08+0200
efec5c2b6627e95c,vidar-econ,odin@f1cacb3,odin,f1cacb3,vase,1,12,pass,ok,,27,174,5,11,33,341,1197,2,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:08+0200
f89218ba87c1b9b2,vidar-econ,odin@f1cacb3,odin,f1cacb3,vault,1,12,pass,ok,,27,137,12,23,265,614,2850,4,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:08+0200
3ae36f85be2d2a33,vidar-econ,vidar3_noecon@f1cacb3,vidar3_noecon,f1cacb3,atoll,1,12,pass,ok,,27,147,34,52,303,772,2268,2,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:04+0200
680108c4d57b7039,vidar-econ,vidar3_noecon@f1cacb3,vidar3_noecon,f1cacb3,aurora,1,12,pass,ok,,27,136,48,62,556,1639,4828,4,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:04+0200
9e25ee91147101ee,vidar-econ,vidar3_noecon@f1cacb3,vidar3_noecon,f1cacb3,bridge,1,12,pass,ok,,27,140,26,42,303,502,1143,19,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:04+0200
73d87b05238df65b,vidar-econ,vidar3_noecon@f1cacb3,vidar3_noecon,f1cacb3,crossfire,1,12,pass,ok,,27,159,31,50,102,632,2361,18,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:04+0200
a33da1806b8359bc,vidar-econ,vidar3_noecon@f1cacb3,vidar3_noecon,f1cacb3,duel,1,12,pass,ok,,27,157,27,49,80,562,2006,17,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:04+0200
7b2da462e27be888,vidar-econ,vidar3_noecon@f1cacb3,vidar3_noecon,f1cacb3,fjord,1,12,pass,ok,,27,140,38,46,330,857,2485,2,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:04+0200
7355c97b6000c9cd,vidar-econ,vidar3_noecon@f1cacb3,vidar3_noecon,f1cacb3,hive,1,12,pass,ok,,27,137,45,58,669,1569,4499,4,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:04+0200
8f884e28700a5962,vidar-econ,vidar3_noecon@f1cacb3,vidar3_noecon,f1cacb3,jackpot,1,12,pass,ok,,27,142,39,57,426,918,2332,2,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:04+0200
aa918bae7163bbda,vidar-econ,vidar3_noecon@f1cacb3,vidar3_noecon,f1cacb3,longship,1,12,pass,ok,,27,138,33,55,537,1287,3127,2,0,0,0,9000,10000,bob-a,,2026-08-04T21:50:04+0200
