match_id,tournament_id,bot_id,bot_name,bot_commit,map,seed,guard_tle_ms,result,match_status,error,turns,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,max_round,timeouts,bot_exceptions,terminal_starts,close_threshold_us,limit_us,host,lsf_job,finished_at
bc14e91f8212b783,vidar-econsweep,vidar@0902155,vidar,0902155,atoll,1,12,pass,ok,,27,147,29,42,310,639,2314,2,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:12+0200
7977664294d93879,vidar-econsweep,vidar@0902155,vidar,0902155,aurora,1,12,pass,ok,,27,136,32,43,380,1100,3200,7,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:12+0200
074636b3332898f7,vidar-econsweep,vidar@0902155,vidar,0902155,bridge,1,12,pass,ok,,27,140,29,40,341,519,1237,19,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:13+0200
02d5ded236381afb,vidar-econsweep,vidar@0902155,vidar,0902155,crossfire,1,12,pass,ok,,27,159,37,50,80,657,2565,18,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:16+0200
a8d80bb8cc6bf283,vidar-econsweep,vidar@0902155,vidar,0902155,duel,1,12,pass,ok,,27,157,42,71,140,848,3086,18,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:16+0200
c1392889e16ab1f1,vidar-econsweep,vidar@0902155,vidar,0902155,fjord,1,12,pass,ok,,27,140,46,60,429,1130,3831,23,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:15+0200
4825f3460b1fa0d4,vidar-econsweep,vidar@0902155,vidar,0902155,hive,1,12,pass,ok,,27,137,38,54,528,1197,3371,4,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:15+0200
e639c276a8a76f2d,vidar-econsweep,vidar@0902155,vidar,0902155,jackpot,1,12,pass,ok,,27,142,29,48,365,707,1886,8,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:17+0200
03500e95d2a014f3,vidar-econsweep,vidar@0902155,vidar,0902155,longship,1,12,pass,ok,,27,138,34,56,518,1430,2884,24,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:17+0200
38c1b5542e94dc9a,vidar-econsweep,vidar@0902155,vidar,0902155,pinch,1,12,pass,ok,,27,145,38,51,429,776,2423,22,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:18+0200
63845e7e177083ee,vidar-econsweep,vidar@0902155,vidar,0902155,quarry,1,12,pass,ok,,27,132,37,60,728,1518,4796,2,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:18+0200
da7fa0ee23679300,vidar-econsweep,vidar@0902155,vidar,0902155,runestone,1,12,pass,ok,,27,140,31,59,519,1358,4141,20,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:18+0200
ed7ed688945b2741,vidar-econsweep,vidar@0902155,vidar,0902155,showdown,1,12,pass,ok,,27,183,36,47,71,576,2926,12,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:20+0200
0da281c720c4c2f6,vidar-econsweep,vidar@0902155,vidar,0902155,skerry,1,12,pass,ok,,27,141,31,44,397,848,2722,2,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:19+0200
cde03c597e512da0,vidar-econsweep,vidar@0902155,vidar,0902155,sprint,1,12,pass,ok,,27,167,33,49,77,544,1886,16,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:18+0200
4f02bba807ab5ceb,vidar-econsweep,vidar@0902155,vidar,0902155,strait,1,12,pass,ok,,27,136,37,60,598,1235,2630,13,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:19+0200
8aa51f8fc31c77ea,vidar-econsweep,vidar@0902155,vidar,0902155,string,1,12,pass,ok,,27,162,31,58,87,617,2965,15,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:19+0200
7c46e8a4ab9a96bd,vidar-econsweep,vidar@0902155,vidar,0902155,sweden,1,12,pass,ok,,27,136,45,61,545,1134,2428,25,0,0,0,9000,10000,bob-a,,2026-08-04T22:04:20+0200
