match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
0054ae36c3efcb0d,vidar-econsweep,vidar_e100@0902155,vidar_e100,0902155,prospect@0902155,prospect,0902155,strait,official,1,0,rating,a,a,1.0,core_destroyed,231,,50,900,11,44,1623,2080,4,44,ok,,5.448,bob-a,,2026-08-04T21:55:59+0200
00946d5bb89b8aae,vidar-econsweep,vigil@0902155,vigil,0902155,vidar_e7@0902155,vidar_e7,0902155,crossfire,official,1,0,rating,b,b,0.0,core_destroyed,214,,885,1010,6,9,31,580,6,16,ok,,4.858,bob-a,,2026-08-04T21:57:52+0200
00bbe08db3ae7966,vidar-econsweep,prospect@0902155,prospect,0902155,vidar_e100@0902155,vidar_e100,0902155,runestone,official,1,0,rating,b,b,0.0,core_destroyed,144,,730,1090,8,41,35,330,9,15,ok,,3.738,bob-a,,2026-08-04T21:55:55+0200
00cf52d012278a38,vidar-econsweep,vidar_e100@0902155,vidar_e100,0902155,valkyrie@0902155,valkyrie,0902155,jackpot,official,1,0,rating,a,a,1.0,titanium_collected,1000,,804,2980,10,12,17,1160,7,5,ok,,14.402,bob-a,,2026-08-04T21:56:51+0200
018b20b2f6d2f313,vidar-econsweep,vidar@0902155,vidar,0902155,prospect@0902155,prospect,0902155,hive,official,1,0,rating,b,b,0.0,core_destroyed,64,,43,200,8,34,20,250,8,26,ok,,2.794,bob-a,,2026-08-04T21:53:15+0200
01a1082248e7192e,vidar-econsweep,vidar_net@0902155,vidar_net,0902155,tyr@0902155,tyr,0902155,showdown,official,1,0,rating,a,a,1.0,core_destroyed,101,,10,0,4,3,10,0,5,0,ok,,2.242,bob-a,,2026-08-04T22:00:02+0200
01e1a1be7079aa32,vidar-econsweep,vidar_net@0902155,vidar_net,0902155,valkyrie@0902155,valkyrie,0902155,fjord,official,1,0,rating,a,a,1.0,core_destroyed,132,,50,890,8,29,17,610,8,6,ok,,3.25,bob-a,,2026-08-04T22:01:34+0200
0274db4f66467d7e,vidar-econsweep,vidar_e100@0902155,vidar_e100,0902155,pantheon_replica_day3@0902155,pantheon_replica_day3,0902155,crossfire,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2335,3010,8,27,5133,6570,7,50,ok,,13.515,bob-a,,2026-08-04T21:56:13+0200
0274e5ef592c1f30,vidar-econsweep,tyr@0902155,tyr,0902155,vidar_e100@0902155,vidar_e100,0902155,duel,official,1,0,rating,b,b,0.0,titanium_collected,1000,,5225,4800,9,16,5102,4850,4,24,ok,,9.228,bob-a,,2026-08-04T21:54:49+0200
029f89e82215a5af,vidar-econsweep,odin@0902155,odin,0902155,vidar_e100@0902155,vidar_e100,0902155,atoll,official,1,0,rating,b,b,0.0,core_destroyed,115,,42,540,9,19,9,520,8,26,ok,,3.475,bob-a,,2026-08-04T21:54:18+0200
