match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
000855879b7640d8,vidar-fixed,odin@8e72b40,odin,8e72b40,vidar_e9@8e72b40,vidar_e9,8e72b40,crossfire,official,1,0,rating,b,b,0.0,core_destroyed,144,,55,660,8,16,26,350,6,14,ok,,3.003,bob-a,,2026-08-04T22:22:48+0200
0016259f05997d6a,vidar-fixed,valkyrie@8e72b40,valkyrie,8e72b40,vidar_e9@8e72b40,vidar_e9,8e72b40,strait,official,1,0,rating,b,b,0.0,core_destroyed,152,,774,1130,8,62,73,870,8,61,ok,,4.114,bob-a,,2026-08-04T22:25:17+0200
0068be9c220dbea3,vidar-fixed,vidar_e5@8e72b40,vidar_e5,8e72b40,pantheon_replica_day3@8e72b40,pantheon_replica_day3,8e72b40,sweden,official,1,0,rating,b,b,0.0,titanium_collected,1000,,4665,4690,11,20,6403,5260,2,17,ok,,10.965,bob-a,,2026-08-04T22:22:17+0200
013ceada1b4fe37f,vidar-fixed,vidar_e9@8e72b40,vidar_e9,8e72b40,steward@8e72b40,steward,8e72b40,jackpot,official,1,0,rating,b,b,0.0,core_destroyed,233,,89,440,6,16,56,1100,9,18,ok,,4.782,bob-a,,2026-08-04T22:24:52+0200
0169b942eb0c86aa,vidar-fixed,vidar@8e72b40,vidar,8e72b40,tyr@8e72b40,tyr,8e72b40,pinch,official,1,0,rating,b,b,0.0,titanium_collected,1000,,10943,9570,5,24,11686,9680,4,37,ok,,7.382,bob-a,,2026-08-04T22:17:45+0200
017b6d44cf4881a8,vidar-fixed,vidar@8e72b40,vidar,8e72b40,vigil@8e72b40,vigil,8e72b40,sprint,official,1,0,rating,b,b,0.0,core_destroyed,89,,10,0,4,1,10,0,5,3,ok,,4.464,bob-a,,2026-08-04T22:18:39+0200
01bd4ed4e1d1c786,vidar-fixed,vidar@8e72b40,vidar,8e72b40,ragnarok@8e72b40,ragnarok,8e72b40,fjord,official,1,0,rating,a,a,1.0,core_destroyed,132,,50,890,8,29,17,610,8,6,ok,,5.657,bob-a,,2026-08-04T22:18:59+0200
01e45306a383566b,vidar-fixed,odin@8e72b40,odin,8e72b40,tyr@8e72b40,tyr,8e72b40,fjord,official,1,0,rating,a,a,1.0,core_destroyed,231,,562,2300,7,60,773,2000,10,58,ok,,4.58,bob-a,,2026-08-04T22:25:26+0200
0220937de0e675c2,vidar-fixed,vidar_e5@8e72b40,vidar_e5,8e72b40,odin@8e72b40,odin,8e72b40,longship,official,1,0,rating,a,a,1.0,core_destroyed,74,,23,400,7,35,63,340,10,26,ok,,2.282,bob-a,,2026-08-04T22:20:35+0200
022312f5e5685ed0,vidar-fixed,valkyrie@8e72b40,valkyrie,8e72b40,vidar_e9@8e72b40,vidar_e9,8e72b40,sweden,official,1,0,rating,b,b,0.0,core_destroyed,305,,1575,1170,4,14,10,0,8,15,ok,,3.858,bob-a,,2026-08-04T22:25:18+0200
