match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
0010716652e6edff,vidar-gheal,prospect@61f8be2,prospect,61f8be2,vidar_gheal@61f8be2,vidar_gheal,61f8be2,generated/stress/stress-20260801-009-rot-15x14,all,1,0,rating,b,b,0.0,core_destroyed,124,,23,150,5,4,12,370,9,24,ok,,2.596,bob-a,,2026-08-05T02:03:23+0200
001448bb9c41c031,vidar-gheal,steward@61f8be2,steward,61f8be2,vidar_gheal@61f8be2,vidar_gheal,61f8be2,generated/representative/representative-20260801-atoll-0,all,1,0,rating,b,b,0.0,core_destroyed,131,,9,520,6,15,7,510,6,11,ok,,3.018,bob-a,,2026-08-05T02:05:01+0200
008e0f71e0eff407,vidar-gheal,steward@61f8be2,steward,61f8be2,vidar_gheal@61f8be2,vidar_gheal,61f8be2,generated/representative/representative-20260801-longship-0,all,1,0,rating,b,b,0.0,core_destroyed,483,,10,3590,6,12,1463,6980,22,91,ok,,10.769,bob-a,,2026-08-05T02:05:16+0200
00a929871e521bb2,vidar-gheal,vidar_gheal@61f8be2,vidar_gheal,61f8be2,odin@61f8be2,odin,61f8be2,generated/random-20260731-000-mirror-y-8x16,all,1,0,rating,a,a,1.0,core_destroyed,173,,8,0,6,5,10,0,5,0,ok,,1.839,bob-a,,2026-08-05T01:57:56+0200
00c1b50e48fea935,vidar-gheal,vidar_gheal@61f8be2,vidar_gheal,61f8be2,tyr@61f8be2,tyr,61f8be2,generated/stress/stress-20260801-020-mirror-x-22x14,all,1,0,rating,b,b,0.0,core_destroyed,282,,248,1810,4,33,73,1710,9,34,ok,,4.337,bob-a,,2026-08-05T02:00:28+0200
00e8ce4bbc6c19c7,vidar-gheal,vidar_gheal@61f8be2,vidar_gheal,61f8be2,tyr@61f8be2,tyr,61f8be2,generated/stress/stress-20260801-019-mirror-y-13x18,all,1,0,rating,a,a,1.0,titanium_collected,1000,,3412,2470,8,6,1601,590,4,2,ok,,5.365,bob-a,,2026-08-05T02:00:28+0200
0126f81f49c334ad,vidar-gheal,vidar_gheal@61f8be2,vidar_gheal,61f8be2,odin@61f8be2,odin,61f8be2,generated/stress/stress-20260801-ambiguous-anchor-1,all,1,0,rating,a,a,1.0,titanium_collected,1000,,16729,17480,10,76,5786,4640,5,17,ok,,6.454,bob-a,,2026-08-05T01:59:04+0200
015209a73f6fde3a,vidar-gheal,pantheon_replica_day3@61f8be2,pantheon_replica_day3,61f8be2,vidar_gheal@61f8be2,vidar_gheal,61f8be2,generated/representative/representative-20260801-vault-0,all,1,0,rating,b,b,0.0,core_destroyed,123,,166,580,4,48,71,740,10,28,ok,,3.726,bob-a,,2026-08-05T02:04:15+0200
016addc7ab7329bc,vidar-gheal,valkyrie@61f8be2,valkyrie,61f8be2,vidar_gheal@61f8be2,vidar_gheal,61f8be2,generated/representative/representative-20260801-sprint-1,all,1,0,rating,a,a,1.0,core_destroyed,37,,10,0,6,1,10,0,6,2,ok,,1.813,bob-a,,2026-08-05T02:06:15+0200
0189b3d1a2aac897,vidar-gheal,vigil@61f8be2,vigil,61f8be2,vidar_gheal@61f8be2,vidar_gheal,61f8be2,generated/stress/stress-20260801-018-rot-12x26,all,1,0,rating,b,b,0.0,titanium_collected,1000,,1314,220,3,3,2948,2410,9,29,ok,,6.595,bob-a,,2026-08-05T02:01:38+0200
01a955712ef11b77,vidar-gheal,vidar_gheal@61f8be2,vidar_gheal,61f8be2,valkyrie@61f8be2,valkyrie,61f8be2,duel,all,1,0,rating,a,a,1.0,core_destroyed,179,,10,510,7,10,660,1140,6,22,ok,,2.556,bob-a,,2026-08-05T02:05:39+0200
01afd502cc17e636,vidar-gheal,vidar_gheal@61f8be2,vidar_gheal,61f8be2,pantheon_replica_day3@61f8be2,pantheon_replica_day3,61f8be2,vase,all,1,0,rating,a,a,1.0,core_destroyed,122,,33,200,8,10,570,250,3,6,ok,,1.825,bob-a,,2026-08-05T02:03:43+0200
01b9b68f0d967a4d,vidar-gheal,vidar_gheal@61f8be2,vidar_gheal,61f8be2,valkyrie@61f8be2,valkyrie,61f8be2,generated/stress/stress-20260801-003-mirror-x-19x10,all,1,0,rating,a,a,1.0,core_destroyed,100,,20,230,6,7,376,230,5,4,ok,,2.087,bob-a,,2026-08-05T02:06:21+0200
01cbaab078377701,vidar-gheal,vidar_gheal@61f8be2,vidar_gheal,61f8be2,pantheon_replica_day3@61f8be2,pantheon_replica_day3,61f8be2,generated/random-20260731-018-mirror-x-29x12,all,1,0,rating,a,a,1.0,core_destroyed,99,,9,230,7,7,10,0,5,6,ok,,1.874,bob-a,,2026-08-05T02:03:57+0200
01d15e000de55324,vidar-gheal,vidar_gheal@61f8be2,vidar_gheal,61f8be2,vigil@61f8be2,vigil,61f8be2,longship,all,1,0,rating,a,a,1.0,titanium_collected,1000,,12791,14600,6,141,7158,6980,11,28,ok,,7.222,bob-a,,2026-08-05T02:00:44+0200
01f9de65f77cd029,vidar-gheal,vidar_gheal@61f8be2,vidar_gheal,61f8be2,vigil@61f8be2,vigil,61f8be2,generated/random-20260731-020-mirror-x-24x28,all,1,0,rating,a,a,1.0,core_destroyed,161,,378,2310,15,40,8,690,9,17,ok,,3.614,bob-a,,2026-08-05T02:01:04+0200
020b5f4a0215fb1f,vidar-gheal,vigil@61f8be2,vigil,61f8be2,vidar_gheal@61f8be2,vidar_gheal,61f8be2,generated/stress/stress-20260801-022-mirror-x-11x28,all,1,0,rating,b,b,0.0,core_destroyed,653,,10,0,7,0,9,0,5,3,ok,,3.553,bob-a,,2026-08-05T02:01:38+0200
02308bcc509130bf,vidar-gheal,odin@61f8be2,odin,61f8be2,vidar_gheal@61f8be2,vidar_gheal,61f8be2,vault,all,1,0,rating,b,b,0.0,titanium_collected,1000,,3889,2830,3,54,11724,13120,13,74,ok,,9.51,bob-a,,2026-08-05T01:58:04+0200
0272ed89c13713cd,vidar-gheal,vidar_gheal@61f8be2,vidar_gheal,61f8be2,valkyrie@61f8be2,valkyrie,61f8be2,generated/stress/stress-20260801-011-rot-30x8,all,1,0,rating,a,a,1.0,core_destroyed,97,,75,610,6,19,157,430,4,15,ok,,2.797,bob-a,,2026-08-05T02:06:26+0200
