match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
01144e43d14e0949,vidar-guard,tyr@daaf6b5,tyr,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,showdown,official,1,0,rating,b,b,0.0,core_destroyed,122,,10,0,6,0,8,0,4,8,ok,,7.864,bob-a,,2026-08-04T23:30:47+0200
018bae941d37e2f6,vidar-guard,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,valkyrie@daaf6b5,valkyrie,daaf6b5,runestone,official,1,0,rating,a,a,1.0,core_destroyed,165,,227,1410,10,90,1019,1430,7,62,ok,,8.003,bob-a,,2026-08-04T23:34:58+0200
01eed340e5c76272,vidar-guard,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,prospect@daaf6b5,prospect,daaf6b5,twins,official,1,0,rating,b,b,0.0,core_destroyed,119,,8,300,10,21,51,560,5,26,ok,,5.611,bob-a,,2026-08-04T23:33:19+0200
050b2b42e4cc9972,vidar-guard,odin@daaf6b5,odin,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,showdown,official,1,0,rating,a,a,1.0,core_destroyed,202,,4,0,6,7,10,0,4,7,ok,,5.286,bob-a,,2026-08-04T23:29:49+0200
05d63aaa14bb69dc,vidar-guard,ragnarok@daaf6b5,ragnarok,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,twins,official,1,0,rating,a,a,1.0,core_destroyed,85,,38,360,7,21,10,140,8,7,ok,,7.909,bob-a,,2026-08-04T23:32:46+0200
05dfb6f2a2e12751,vidar-guard,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,prospect@daaf6b5,prospect,daaf6b5,quarry,official,1,0,rating,a,a,1.0,core_destroyed,90,,31,640,7,38,446,630,4,29,ok,,6.753,bob-a,,2026-08-04T23:33:08+0200
061a7c10cf11ebbb,vidar-guard,prospect@daaf6b5,prospect,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,vase,official,1,0,rating,a,a,1.0,core_destroyed,961,,426,2360,16,7,9,360,1,9,ok,,25.837,bob-a,,2026-08-04T23:33:41+0200
0772b3ae161eb99c,vidar-guard,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,odin@daaf6b5,odin,daaf6b5,atoll,official,1,0,rating,a,a,1.0,core_destroyed,170,,77,1330,10,38,36,890,6,37,ok,,9.474,bob-a,,2026-08-04T23:29:35+0200
078ff34116ec4945,vidar-guard,odin@daaf6b5,odin,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,aurora,official,1,0,rating,a,a,1.0,core_destroyed,182,,162,1270,9,42,279,1530,12,46,ok,,8.774,bob-a,,2026-08-04T23:29:34+0200
07cec15966dedf65,vidar-guard,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,vigil@daaf6b5,vigil,daaf6b5,vault,official,1,0,rating,a,a,1.0,core_destroyed,449,,185,2580,13,54,1564,2200,12,11,ok,,13.695,bob-a,,2026-08-04T23:32:05+0200
0855ed86981b3811,vidar-guard,vigil@daaf6b5,vigil,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,longship,official,1,0,rating,b,b,0.0,core_destroyed,167,,911,1200,8,20,178,1190,7,44,ok,,7.897,bob-a,,2026-08-04T23:31:31+0200
0983596ebce14ea5,vidar-guard,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,prospect@daaf6b5,prospect,daaf6b5,duel,official,1,0,rating,a,a,1.0,core_destroyed,64,,18,150,7,8,134,370,7,16,ok,,4.475,bob-a,,2026-08-04T23:32:55+0200
0adc92c0a8715bb7,vidar-guard,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,prospect@daaf6b5,prospect,daaf6b5,strait,official,1,0,rating,b,b,0.0,core_destroyed,171,,65,480,11,23,729,1500,4,63,ok,,6.714,bob-a,,2026-08-04T23:33:15+0200
0c3befd7d766638d,vidar-guard,tyr@daaf6b5,tyr,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,crossfire,official,1,0,rating,b,b,0.0,titanium_collected,1000,,4730,4900,7,25,6383,7860,5,26,ok,,17.311,bob-a,,2026-08-04T23:30:32+0200
0c4f4883045654b6,vidar-guard,steward@daaf6b5,steward,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,showdown,official,1,0,rating,a,a,1.0,core_destroyed,89,,10,0,6,2,10,0,6,1,ok,,6.502,bob-a,,2026-08-04T23:34:25+0200
0c79d1deb83bb5fc,vidar-guard,tyr@daaf6b5,tyr,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,string,official,1,0,rating,a,a,1.0,titanium_collected,1000,,5949,4930,4,15,1319,590,9,4,ok,,14.093,bob-a,,2026-08-04T23:31:02+0200
0c970b6df23621d8,vidar-guard,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,ragnarok@daaf6b5,ragnarok,daaf6b5,vase,official,1,0,rating,a,a,1.0,core_destroyed,116,,20,250,6,7,10,0,4,5,ok,,6.175,bob-a,,2026-08-04T23:32:45+0200
0cb20502b036db1c,vidar-guard,tyr@daaf6b5,tyr,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,sprint,official,1,0,rating,a,draw,0.5,coinflip,1000,,16,0,8,5,16,0,6,2,ok,,9.873,bob-a,,2026-08-04T23:30:55+0200
0ce2df2cfa7ceadd,vidar-guard,pantheon_replica_day3@daaf6b5,pantheon_replica_day3,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,jackpot,official,1,0,rating,b,b,0.0,core_destroyed,185,,56,900,4,35,20,860,9,12,ok,,5.768,bob-a,,2026-08-04T23:33:36+0200
0d49e53eb10095bd,vidar-guard,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,steward@daaf6b5,steward,daaf6b5,longship,official,1,0,rating,b,b,0.0,core_destroyed,185,,8,440,11,9,10,1460,8,72,ok,,13.084,bob-a,,2026-08-04T23:34:23+0200
0dc6d7fd1bbd04ac,vidar-guard,ragnarok@daaf6b5,ragnarok,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,longship,official,1,0,rating,b,b,0.0,core_destroyed,161,,717,1470,7,51,89,1560,10,57,ok,,8.907,bob-a,,2026-08-04T23:32:25+0200
0e1ac90d0da3ad28,vidar-guard,tyr@daaf6b5,tyr,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,atoll,official,1,0,rating,a,a,1.0,titanium_collected,1000,,8946,9470,7,38,5288,6080,8,67,ok,,16.108,bob-a,,2026-08-04T23:30:18+0200
0e8350d2b5462a69,vidar-guard,ragnarok@daaf6b5,ragnarok,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,showdown,official,1,0,rating,a,a,1.0,core_destroyed,101,,9,0,5,1,10,0,3,9,ok,,3.851,bob-a,,2026-08-04T23:32:31+0200
102c96d447c9f69e,vidar-guard,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,ragnarok@daaf6b5,ragnarok,daaf6b5,showdown,official,1,0,rating,b,b,0.0,core_destroyed,193,,10,0,7,6,10,0,7,1,ok,,9.973,bob-a,,2026-08-04T23:32:36+0200
11567393bd1cee91,vidar-guard,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,steward@daaf6b5,steward,daaf6b5,hive,official,1,0,rating,b,b,0.0,titanium_stored,1000,,12,2480,9,24,19,2480,7,20,ok,,13.698,bob-a,,2026-08-04T23:34:20+0200
11610ed549df92e3,vidar-guard,valkyrie@daaf6b5,valkyrie,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,strait,official,1,0,rating,b,b,0.0,core_destroyed,214,,1368,1780,8,64,21,870,9,45,ok,,6.22,bob-a,,2026-08-04T23:35:04+0200
116970cc5dad0070,vidar-guard,vigil@daaf6b5,vigil,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,vault,official,1,0,rating,b,b,0.0,core_destroyed,118,,412,530,10,11,10,570,9,28,ok,,9.111,bob-a,,2026-08-04T23:32:03+0200
134bfbd69be162f2,vidar-guard,tyr@daaf6b5,tyr,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,runestone,official,1,0,rating,b,b,0.0,titanium_collected,1000,,9281,8920,7,56,13859,14540,5,92,ok,,23.21,bob-a,,2026-08-04T23:30:55+0200
13d674dd074a78c7,vidar-guard,prospect@daaf6b5,prospect,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,hive,official,1,0,rating,a,a,1.0,core_destroyed,62,,18,250,8,16,44,200,8,31,ok,,4.367,bob-a,,2026-08-04T23:32:59+0200
14338205dfb5417e,vidar-guard,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,odin@daaf6b5,odin,daaf6b5,string,official,1,0,rating,a,a,1.0,titanium_collected,1000,,10464,9570,5,22,7410,5320,0,12,ok,,12.23,bob-a,,2026-08-04T23:30:02+0200
14de3a28b6b53fdc,vidar-guard,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,steward@daaf6b5,steward,daaf6b5,strait,official,1,0,rating,b,b,0.0,core_destroyed,265,,39,1260,8,34,114,2530,10,65,ok,,17.825,bob-a,,2026-08-04T23:34:41+0200
15bbfbcc1b7e2040,vidar-guard,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,tyr@daaf6b5,tyr,daaf6b5,pinch,official,1,0,rating,b,b,0.0,titanium_collected,1000,,3591,3070,2,33,9455,9490,7,39,ok,,16.002,bob-a,,2026-08-04T23:30:44+0200
167e3f8b74a63838,vidar-guard,prospect@daaf6b5,prospect,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,skerry,official,1,0,rating,b,b,0.0,core_destroyed,103,,372,730,5,33,10,460,8,19,ok,,7.537,bob-a,,2026-08-04T23:33:14+0200
16d91c6f5222c652,vidar-guard,pantheon_replica_day3@daaf6b5,pantheon_replica_day3,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,string,official,1,0,rating,a,a,1.0,titanium_collected,1000,,5007,4900,9,6,1466,830,1,6,ok,,26.316,bob-a,,2026-08-04T23:34:12+0200
16e5a96dddf22ad2,vidar-guard,ragnarok@daaf6b5,ragnarok,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,crossfire,official,1,0,rating,b,b,0.0,core_destroyed,145,,13,350,8,10,10,350,5,7,ok,,4.331,bob-a,,2026-08-04T23:32:08+0200
1788c0530a75ade5,vidar-guard,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,prospect@daaf6b5,prospect,daaf6b5,skerry,official,1,0,rating,a,a,1.0,titanium_collected,1000,,13152,13990,7,32,4231,4220,6,11,ok,,18.429,bob-a,,2026-08-04T23:33:25+0200
17bff506e8ff2de1,vidar-guard,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,valkyrie@daaf6b5,valkyrie,daaf6b5,sprint,official,1,0,rating,b,b,0.0,core_destroyed,129,,10,0,5,2,10,0,6,2,ok,,5.35,bob-a,,2026-08-04T23:34:59+0200
1a01caf5c138c0c3,vidar-guard,pantheon_replica_day3@daaf6b5,pantheon_replica_day3,daaf6b5,vidar_guardgun@daaf6b5,vidar_guardgun,daaf6b5,skerry,official,1,0,rating,a,a,1.0,core_destroyed,96,,35,670,5,43,10,260,5,17,ok,,5.52,bob-a,,2026-08-04T23:33:45+0200
