match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
0003d34fc62b995b,vidar-heal0,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,prospect@7ffecd4,prospect,7ffecd4,generated/representative/representative-20260801-hive-1,all,1,0,rating,b,b,0.0,core_destroyed,75,,0,320,8,30,9,260,10,17,ok,,2.784,bob-a,,2026-08-05T02:55:15+0200
001944a149a40012,vidar-heal0,ragnarok@7ffecd4,ragnarok,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,showdown,all,1,0,rating,b,b,0.0,core_destroyed,765,,1219,0,3,0,10,0,6,1,ok,,3.968,bob-a,,2026-08-05T02:53:57+0200
00276255c76c427a,vidar-heal0,tyr@7ffecd4,tyr,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/stress/stress-20260801-002-mirror-y-15x16,all,1,0,rating,b,b,0.0,titanium_collected,1000,,4802,3020,1,10,9561,8790,8,30,ok,,6.442,bob-a,,2026-08-05T02:52:30+0200
0038c72605693902,vidar-heal0,pantheon_replica_day3@7ffecd4,pantheon_replica_day3,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,quarry,all,1,0,rating,b,b,0.0,core_destroyed,126,,687,1060,2,41,60,780,12,25,ok,,3.776,bob-a,,2026-08-05T02:55:47+0200
003a20ca317cc001,vidar-heal0,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,steward@7ffecd4,steward,7ffecd4,generated/random-20260731-019-mirror-y-27x16,all,1,0,rating,a,a,1.0,core_destroyed,149,,9,130,5,6,2,650,5,43,ok,,2.486,bob-a,,2026-08-05T02:56:56+0200
008cdb85880733b5,vidar-heal0,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,valkyrie@7ffecd4,valkyrie,7ffecd4,generated/random-20260731-000-mirror-y-8x16,all,1,0,rating,a,a,1.0,core_destroyed,173,,9,0,7,2,10,0,7,0,ok,,2.205,bob-a,,2026-08-05T02:57:51+0200
00a6d143166f1362,vidar-heal0,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,ragnarok@7ffecd4,ragnarok,7ffecd4,generated/random-20260731-017-mirror-y-10x11,all,1,0,rating,a,a,1.0,core_destroyed,130,,7,310,6,5,6,290,5,10,ok,,2.328,bob-a,,2026-08-05T02:54:10+0200
00cc5fbebbdbaba9,vidar-heal0,vigil@7ffecd4,vigil,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/random-20260731-011-mirror-x-10x24,all,1,0,rating,a,a,1.0,core_destroyed,85,,10,0,6,3,10,0,6,3,ok,,2.064,bob-a,,2026-08-05T02:53:03+0200
00f478ff8c4368d7,vidar-heal0,vigil@7ffecd4,vigil,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/stress/stress-20260801-003-mirror-x-19x10,all,1,0,rating,b,b,0.0,core_destroyed,168,,618,400,3,4,31,400,9,7,ok,,2.307,bob-a,,2026-08-05T02:53:30+0200
00f737a60b270425,vidar-heal0,odin@7ffecd4,odin,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,string,all,1,0,rating,b,b,0.0,core_destroyed,484,,1988,1410,0,0,30,1240,16,14,ok,,5.57,bob-a,,2026-08-05T02:50:11+0200
01456c3151915301,vidar-heal0,pantheon_replica_day3@7ffecd4,pantheon_replica_day3,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/stress/stress-20260801-006-mirror-y-13x12,all,1,0,rating,b,b,0.0,core_destroyed,229,,10,0,5,0,9,0,7,4,ok,,2.161,bob-a,,2026-08-05T02:56:21+0200
01ad902b46f50ce7,vidar-heal0,prospect@7ffecd4,prospect,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/representative/representative-20260801-skerry-0,all,1,0,rating,b,b,0.0,core_destroyed,94,,60,560,6,17,20,400,7,16,ok,,2.272,bob-a,,2026-08-05T02:55:20+0200
01e6eff3aae11f91,vidar-heal0,steward@7ffecd4,steward,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/representative/representative-20260801-crossfire-1,all,1,0,rating,a,a,1.0,core_destroyed,337,,9,830,10,16,9,370,7,9,ok,,4.259,bob-a,,2026-08-05T02:57:04+0200
01f757f59998b9ed,vidar-heal0,tyr@7ffecd4,tyr,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/stress/stress-20260801-017-rot-10x24,all,1,0,rating,a,a,1.0,titanium_collected,1000,,9674,9550,10,19,7094,7390,4,13,ok,,4.584,bob-a,,2026-08-05T02:52:39+0200
02135038e0f6ac79,vidar-heal0,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,pantheon_replica_day3@7ffecd4,pantheon_replica_day3,7ffecd4,generated/representative/representative-20260801-runestone-0,all,1,0,rating,a,a,1.0,core_destroyed,128,,18,630,10,22,635,1020,3,60,ok,,2.643,bob-a,,2026-08-05T02:56:14+0200
0243b3012b65c9e8,vidar-heal0,valkyrie@7ffecd4,valkyrie,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/stress/stress-20260801-021-mirror-x-9x16,all,1,0,rating,a,draw,0.5,coinflip,1000,,16,0,8,1,16,0,7,5,ok,,3.73,bob-a,,2026-08-05T02:58:33+0200
024693523568b435,vidar-heal0,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,prospect@7ffecd4,prospect,7ffecd4,generated/stress/stress-20260801-000-mirror-y-25x30,all,1,0,rating,a,a,1.0,core_destroyed,205,,31,690,7,14,976,1820,8,28,ok,,4.119,bob-a,,2026-08-05T02:55:27+0200
026d3b3b9b8cd278,vidar-heal0,odin@7ffecd4,odin,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,hive,all,1,0,rating,b,b,0.0,titanium_collected,1000,,4935,3860,4,64,14104,15720,15,115,ok,,10.217,bob-a,,2026-08-05T02:50:07+0200
02786457a49a223b,vidar-heal0,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,tyr@7ffecd4,tyr,7ffecd4,generated/representative/representative-20260801-pinch-0,all,1,0,rating,a,a,1.0,titanium_collected,1000,,10422,11280,6,72,2940,2830,3,26,ok,,6.998,bob-a,,2026-08-05T02:52:07+0200
0287e8903c3fcfd0,vidar-heal0,prospect@7ffecd4,prospect,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/stress/stress-20260801-007-mirror-y-12x24,all,1,0,rating,a,a,1.0,core_destroyed,305,,9,0,8,2,10,0,3,9,ok,,2.398,bob-a,,2026-08-05T02:55:28+0200
02b2c540e8de7a59,vidar-heal0,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,ragnarok@7ffecd4,ragnarok,7ffecd4,vase,all,1,0,rating,a,a,1.0,core_destroyed,165,,10,370,6,7,197,340,4,12,ok,,2.1,bob-a,,2026-08-05T02:54:00+0200
02e77d6aa6c03866,vidar-heal0,vigil@7ffecd4,vigil,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/stress/stress-20260801-015-rot-15x14,all,1,0,rating,b,b,0.0,core_destroyed,795,,10,1270,1,0,42,3670,21,49,ok,,15.031,bob-a,,2026-08-05T02:53:50+0200
02f40741a5ca1aa7,vidar-heal0,prospect@7ffecd4,prospect,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/stress/stress-20260801-ambiguous-anchor-3,all,1,0,rating,b,b,0.0,core_destroyed,144,,780,630,7,8,625,1140,7,25,ok,,2.413,bob-a,,2026-08-05T02:55:39+0200
0320ab34e30281f3,vidar-heal0,odin@7ffecd4,odin,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/stress/stress-20260801-016-rot-25x14,all,1,0,rating,b,b,0.0,titanium_stored,1000,,16,0,7,1,18,0,5,3,ok,,4.906,bob-a,,2026-08-05T02:51:11+0200
03884c81e37b506c,vidar-heal0,prospect@7ffecd4,prospect,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,pinch,all,1,0,rating,a,a,1.0,core_destroyed,237,,45,2040,8,43,73,570,5,15,ok,,4.4,bob-a,,2026-08-05T02:54:52+0200
03a00f31cbf7607a,vidar-heal0,vigil@7ffecd4,vigil,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/random-20260731-009-mirror-x-20x30,all,1,0,rating,b,b,0.0,core_destroyed,861,,1550,20,1,0,10,0,7,3,ok,,2.819,bob-a,,2026-08-05T02:53:03+0200
03bbb4c393611c87,vidar-heal0,steward@7ffecd4,steward,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/representative/representative-20260801-twins-0,all,1,0,rating,b,b,0.0,core_destroyed,87,,62,670,10,31,23,780,9,35,ok,,3.273,bob-a,,2026-08-05T02:57:18+0200
03bc3a49080f54a4,vidar-heal0,prospect@7ffecd4,prospect,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,jackpot,all,1,0,rating,b,b,0.0,core_destroyed,117,,105,510,6,26,12,500,8,17,ok,,3.375,bob-a,,2026-08-05T02:54:49+0200
03f948c6799d1c52,vidar-heal0,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,pantheon_replica_day3@7ffecd4,pantheon_replica_day3,7ffecd4,generated/random-20260731-003-rot-10x9,all,1,0,rating,b,b,0.0,titanium_collected,1000,,16,0,5,5,16,70,6,7,ok,,3.726,bob-a,,2026-08-05T02:55:55+0200
040faaa624c28f2b,vidar-heal0,odin@7ffecd4,odin,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/representative/representative-20260801-twins-1,all,1,0,rating,b,b,0.0,core_destroyed,83,,15,460,9,21,19,360,7,25,ok,,2.896,bob-a,,2026-08-05T02:50:57+0200
0411dbaca725e60f,vidar-heal0,tyr@7ffecd4,tyr,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/random-20260731-002-rot-11x15,all,1,0,rating,b,b,0.0,core_destroyed,185,,10,0,7,1,9,0,7,1,ok,,2.437,bob-a,,2026-08-05T02:51:36+0200
044843753b2085d9,vidar-heal0,ragnarok@7ffecd4,ragnarok,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,pinch,all,1,0,rating,b,b,0.0,core_destroyed,166,,690,920,6,23,186,1370,9,34,ok,,2.548,bob-a,,2026-08-05T02:53:53+0200
0450c86fea88a22e,vidar-heal0,valkyrie@7ffecd4,valkyrie,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/representative/representative-20260801-duel-0,all,1,0,rating,a,a,1.0,core_destroyed,81,,8,190,7,9,9,190,8,13,ok,,2.434,bob-a,,2026-08-05T02:58:07+0200
046594108aa87e4b,vidar-heal0,odin@7ffecd4,odin,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/stress/stress-20260801-020-mirror-x-22x14,all,1,0,rating,a,a,1.0,core_destroyed,190,,10,460,2,7,31,460,8,5,ok,,3.264,bob-a,,2026-08-05T02:51:14+0200
04cc1e89ba647852,vidar-heal0,tyr@7ffecd4,tyr,7ffecd4,vidar_heal0@7ffecd4,vidar_heal0,7ffecd4,generated/random-20260731-020-mirror-x-24x28,all,1,0,rating,b,b,0.0,core_destroyed,142,,104,1750,9,57,310,1680,13,36,ok,,3.307,bob-a,,2026-08-05T02:51:48+0200
