match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
004f29a1dc9c4042,vidar-nogun,steward@8be2920,steward,8be2920,vidar_gg150@8be2920,vidar_gg150,8be2920,skerry,official,1,0,rating,b,b,0.0,core_destroyed,627,,2514,7130,6,20,771,7040,21,53,ok,,16.682,bob-a,,2026-08-05T00:03:20+0200
00aa3be760380e9a,vidar-nogun,vidar_ggng@8be2920,vidar_ggng,8be2920,vigil@8be2920,vigil,8be2920,pinch,official,1,0,rating,a,a,1.0,core_destroyed,208,,20,600,6,24,1087,1630,10,18,ok,,4.492,bob-a,,2026-08-05T00:04:33+0200
00b76dc94b0cf104,vidar-nogun,vigil@8be2920,vigil,8be2920,vidar_ggng@8be2920,vidar_ggng,8be2920,runestone,official,1,0,rating,b,b,0.0,core_destroyed,641,,954,1650,8,16,295,2810,17,96,ok,,15.412,bob-a,,2026-08-05T00:04:46+0200
00f4a67db195b386,vidar-nogun,vidar_nogun@8be2920,vidar_nogun,8be2920,vidar_ggng@8be2920,vidar_ggng,8be2920,pinch,official,1,0,rating,b,b,0.0,titanium_collected,1000,,6745,7530,8,28,10281,11930,4,60,ok,,11.363,bob-a,,2026-08-05T00:07:04+0200
010fc9014a68c4f4,vidar-nogun,vidar_nogun@8be2920,vidar_nogun,8be2920,odin@8be2920,odin,8be2920,sprint,official,1,0,rating,a,a,1.0,core_destroyed,149,,10,0,6,1,10,0,3,0,ok,,1.95,bob-a,,2026-08-04T23:58:37+0200
01264a5a4c91f96b,vidar-nogun,vidar_nogun@8be2920,vidar_nogun,8be2920,vidar_gg150@8be2920,vidar_gg150,8be2920,skerry,official,1,0,rating,a,a,1.0,titanium_collected,1000,,6561,8490,6,65,5446,7860,9,50,ok,,12.091,bob-a,,2026-08-05T00:06:45+0200
013c84ca71055262,vidar-nogun,vidar_ggng@8be2920,vidar_ggng,8be2920,ragnarok@8be2920,ragnarok,8be2920,vault,official,1,0,rating,a,a,1.0,core_destroyed,143,,10,500,9,32,466,970,7,38,ok,,2.863,bob-a,,2026-08-05T00:04:59+0200
01afb44279674c27,vidar-nogun,vidar_ggng@8be2920,vidar_ggng,8be2920,vidar_nogun@8be2920,vidar_nogun,8be2920,vase,official,1,0,rating,a,a,1.0,titanium_stored,1000,,4116,2460,2,7,3889,2460,4,7,ok,,5.009,bob-a,,2026-08-05T00:07:17+0200
01b0017b65f55f45,vidar-nogun,vigil@8be2920,vigil,8be2920,vidar_nogun@8be2920,vidar_nogun,8be2920,sweden,official,1,0,rating,b,b,0.0,core_destroyed,517,,3495,2610,4,33,10,0,10,33,ok,,4.44,bob-a,,2026-08-04T23:59:19+0200
01bb1d9ca0020576,vidar-nogun,steward@8be2920,steward,8be2920,vidar_ggng@8be2920,vidar_ggng,8be2920,sprint,official,1,0,rating,b,b,0.0,core_destroyed,157,,10,0,4,0,9,0,6,1,ok,,2.693,bob-a,,2026-08-05T00:05:55+0200
