match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
00bdd1b9b1c7c9f5,vidar-parked,vidar_png@9cba590,vidar_png,9cba590,ragnarok@9cba590,ragnarok,9cba590,runestone,official,1,0,rating,a,a,1.0,core_destroyed,308,,20,3490,22,92,2694,3320,9,68,ok,,8.299,bob-a,,2026-08-05T00:19:04+0200
0138927d1b432cbf,vidar-parked,vidar_png@9cba590,vidar_png,9cba590,steward@9cba590,steward,9cba590,aurora,official,1,0,rating,a,a,1.0,core_destroyed,189,,802,2230,9,63,77,1800,11,65,ok,,3.989,bob-a,,2026-08-05T00:19:37+0200
0146dfdb280d6f9a,vidar-parked,vidar_pg@9cba590,vidar_pg,9cba590,vidar@9cba590,vidar,9cba590,string,official,1,0,rating,a,a,1.0,core_destroyed,358,,292,2540,8,18,245,750,0,1,ok,,6.778,bob-a,,2026-08-05T00:20:42+0200
0167a6cd2f6e98c7,vidar-parked,vidar_png@9cba590,vidar_png,9cba590,vigil@9cba590,vigil,9cba590,skerry,official,1,0,rating,a,a,1.0,core_destroyed,452,,972,4120,13,25,487,3250,10,20,ok,,11.211,bob-a,,2026-08-05T00:18:50+0200
016f77a96a4a3e2c,vidar-parked,vidar_png@9cba590,vidar_png,9cba590,tyr@9cba590,tyr,9cba590,bridge,official,1,0,rating,a,a,1.0,core_destroyed,166,,12,1000,8,29,683,940,5,15,ok,,3.259,bob-a,,2026-08-05T00:18:06+0200
017c1ec47d7960bc,vidar-parked,ragnarok@9cba590,ragnarok,9cba590,vidar_pg@9cba590,vidar_pg,9cba590,skerry,official,1,0,rating,b,b,0.0,core_destroyed,454,,2118,3900,6,83,3325,6080,16,83,ok,,8.921,bob-a,,2026-08-05T00:14:11+0200
01a3e6bb1985f5e1,vidar-parked,vidar@9cba590,vidar,9cba590,vidar_png@9cba590,vidar_png,9cba590,showdown,official,1,0,rating,b,b,0.0,core_destroyed,138,,10,0,4,1,8,0,6,1,ok,,2.336,bob-a,,2026-08-05T00:21:24+0200
01bf752436909ec4,vidar-parked,vidar_pn@9cba590,vidar_pn,9cba590,odin@9cba590,odin,9cba590,longship,official,1,0,rating,a,a,1.0,core_destroyed,76,,69,420,7,33,73,300,10,22,ok,,2.427,bob-a,,2026-08-05T00:15:23+0200
01d90f36a017439b,vidar-parked,vidar@9cba590,vidar,9cba590,steward@9cba590,steward,9cba590,runestone,official,1,0,rating,b,b,0.0,core_destroyed,672,,8455,12700,11,118,26,7290,12,39,ok,,19.737,bob-a,,2026-08-05T00:12:46+0200
0253c29a16146e95,vidar-parked,tyr@9cba590,tyr,9cba590,vidar@9cba590,vidar,9cba590,sweden,official,1,0,rating,b,b,0.0,titanium_collected,1000,,1611,170,1,9,4485,4860,10,25,ok,,10.04,bob-a,,2026-08-05T00:11:24+0200
0271888c815bec7a,vidar-parked,vidar_pn@9cba590,vidar_pn,9cba590,vidar@9cba590,vidar,9cba590,aurora,official,1,0,rating,a,a,1.0,titanium_collected,1000,,9625,12980,10,62,5804,7850,6,47,ok,,13.086,bob-a,,2026-08-05T00:20:55+0200
02bdda3f82237a22,vidar-parked,vidar_pg@9cba590,vidar_pg,9cba590,tyr@9cba590,tyr,9cba590,string,official,1,0,rating,a,a,1.0,titanium_collected,1000,,10066,9530,5,21,2494,840,2,5,ok,,5.189,bob-a,,2026-08-05T00:13:31+0200
02c5f3cea7cf3925,vidar-parked,tyr@9cba590,tyr,9cba590,vidar_png@9cba590,vidar_png,9cba590,hive,official,1,0,rating,a,a,1.0,titanium_collected,1000,,10179,12820,5,77,673,8370,12,101,ok,,11.403,bob-a,,2026-08-05T00:18:20+0200
02c72d9062d32434,vidar-parked,vidar_pn@9cba590,vidar_pn,9cba590,valkyrie@9cba590,valkyrie,9cba590,quarry,official,1,0,rating,b,b,0.0,core_destroyed,464,,1393,5590,19,116,3557,4890,7,56,ok,,11.348,bob-a,,2026-08-05T00:17:42+0200
02e0bf826dce5ad2,vidar-parked,vidar_png@9cba590,vidar_png,9cba590,vigil@9cba590,vigil,9cba590,duel,official,1,0,rating,b,b,0.0,core_destroyed,167,,9,410,5,4,132,790,8,9,ok,,2.223,bob-a,,2026-08-05T00:18:33+0200
02f8d851411134dd,vidar-parked,vidar@9cba590,vidar,9cba590,odin@9cba590,odin,9cba590,crossfire,official,1,0,rating,a,a,1.0,core_destroyed,105,,102,630,4,25,11,290,9,33,ok,,2.125,bob-a,,2026-08-05T00:10:48+0200
0330d6c257d0071e,vidar-parked,vidar_pn@9cba590,vidar_pn,9cba590,prospect@9cba590,prospect,9cba590,jackpot,official,1,0,rating,b,b,0.0,core_destroyed,333,,166,2390,8,28,47,1590,9,16,ok,,7.277,bob-a,,2026-08-05T00:16:41+0200
033e361b172d85be,vidar-parked,vidar_png@9cba590,vidar_png,9cba590,valkyrie@9cba590,valkyrie,9cba590,vault,official,1,0,rating,a,a,1.0,core_destroyed,122,,16,560,10,27,1,560,6,47,ok,,3.257,bob-a,,2026-08-05T00:20:19+0200
037828a79ea48307,vidar-parked,ragnarok@9cba590,ragnarok,9cba590,vidar_png@9cba590,vidar_png,9cba590,strait,official,1,0,rating,b,b,0.0,core_destroyed,222,,963,1620,9,79,96,1710,14,71,ok,,5.019,bob-a,,2026-08-05T00:19:03+0200
037b444adade289c,vidar-parked,vidar_pn@9cba590,vidar_pn,9cba590,valkyrie@9cba590,valkyrie,9cba590,vase,official,1,0,rating,a,a,1.0,core_destroyed,165,,10,370,6,7,197,340,4,12,ok,,1.892,bob-a,,2026-08-05T00:17:39+0200
0397eb9ab48eb5a8,vidar-parked,valkyrie@9cba590,valkyrie,9cba590,vidar_pn@9cba590,vidar_pn,9cba590,runestone,official,1,0,rating,b,b,0.0,core_destroyed,354,,958,2040,8,112,88,2550,10,121,ok,,4.733,bob-a,,2026-08-05T00:17:36+0200
03c0bdb7bab7ac48,vidar-parked,vidar_pn@9cba590,vidar_pn,9cba590,steward@9cba590,steward,9cba590,bridge,official,1,0,rating,b,b,0.0,core_destroyed,310,,54,590,6,4,71,2490,11,22,ok,,6.373,bob-a,,2026-08-05T00:17:08+0200
03cfa296f9bc81d0,vidar-parked,vidar_pg@9cba590,vidar_pg,9cba590,valkyrie@9cba590,valkyrie,9cba590,jackpot,official,1,0,rating,b,b,0.0,core_destroyed,527,,60,2720,6,33,11,2330,6,9,ok,,8.791,bob-a,,2026-08-05T00:15:10+0200
03df25017354eaea,vidar-parked,vidar_pg@9cba590,vidar_pg,9cba590,tyr@9cba590,tyr,9cba590,quarry,official,1,0,rating,a,a,1.0,titanium_collected,1000,,15250,17930,5,213,8930,10650,9,115,ok,,14.875,bob-a,,2026-08-05T00:13:33+0200
0414da987668b2c3,vidar-parked,vidar_png@9cba590,vidar_png,9cba590,ragnarok@9cba590,ragnarok,9cba590,twins,official,1,0,rating,a,a,1.0,core_destroyed,340,,105,2310,20,67,2618,2620,4,67,ok,,6.588,bob-a,,2026-08-05T00:19:06+0200
043a56b57354e70f,vidar-parked,pantheon_replica_day3@9cba590,pantheon_replica_day3,9cba590,vidar_png@9cba590,vidar_png,9cba590,hive,official,1,0,rating,a,a,1.0,core_destroyed,82,,10,450,6,52,40,270,9,35,ok,,2.387,bob-a,,2026-08-05T00:19:23+0200
0454cb0cc880ac90,vidar-parked,valkyrie@9cba590,valkyrie,9cba590,vidar@9cba590,vidar,9cba590,runestone,official,1,0,rating,a,a,1.0,core_destroyed,530,,6908,8380,11,83,2890,3980,16,42,ok,,16.381,bob-a,,2026-08-05T00:12:59+0200
04cd704c0e8b7f6d,vidar-parked,vidar@9cba590,vidar,9cba590,ragnarok@9cba590,ragnarok,9cba590,jackpot,official,1,0,rating,b,b,0.0,core_destroyed,474,,202,1100,5,16,35,2150,13,9,ok,,6.908,bob-a,,2026-08-05T00:11:47+0200
04e1074a764bc6cd,vidar-parked,vidar_pn@9cba590,vidar_pn,9cba590,prospect@9cba590,prospect,9cba590,duel,official,1,0,rating,a,a,1.0,core_destroyed,108,,62,500,9,11,320,490,3,8,ok,,2.48,bob-a,,2026-08-05T00:16:35+0200
051cf6f1277813d6,vidar-parked,vidar@9cba590,vidar,9cba590,vidar_pg@9cba590,vidar_pg,9cba590,string,official,1,0,rating,b,b,0.0,titanium_collected,1000,,3629,2490,3,9,5682,5060,2,11,ok,,6.779,bob-a,,2026-08-05T00:20:41+0200
