rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vidar_guard@59b96b5,vidar_guard,59b96b5,462,286,7,169,0.6266,0.524811,91.2,0.524811,-0.422914,0.963822,0.249482,0.0,1,0
2,vidar@59b96b5,vidar,59b96b5,462,266,3,193,0.579,0.294825,51.2,0.294825,-0.105281,0.12096,0.249482,-0.0,1,1
3,vidar_siege@59b96b5,vidar_siege,59b96b5,462,251,4,207,0.5476,0.191347,33.2,0.191347,-0.247271,0.699408,0.0,-0.198467,8,-5
4,vidar_field@59b96b5,vidar_field,59b96b5,462,251,2,209,0.5455,0.169052,29.4,0.169052,-0.108645,0.362203,0.0,-0.119136,6,-2
5,odin@59b96b5,odin,59b96b5,168,92,0,76,0.5476,0.063064,11.0,0.063064,0.745772,-0.016745,0.0,-0.023325,5,0
6,tyr@59b96b5,tyr,59b96b5,168,89,2,77,0.5357,0.046843,8.1,0.046843,0.676003,-0.038695,0.250345,0.0,1,5
7,prospect@59b96b5,prospect,59b96b5,168,82,3,83,0.497,-0.003941,-0.7,-0.003941,0.619109,-0.053332,0.250691,-0.0,1,6
8,steward@59b96b5,steward,59b96b5,168,75,1,92,0.4494,-0.06639,-11.5,-0.06639,0.395743,-0.151634,0.0,-0.152207,7,1
9,pantheon_replica_day3@59b96b5,pantheon_replica_day3,59b96b5,168,53,1,114,0.3185,-0.251357,-43.7,-0.251357,-0.177433,-0.379666,0.0,-0.376703,9,0
10,ragnarok@59b96b5,ragnarok,59b96b5,168,47,0,121,0.2798,-0.322217,-56.0,-0.322217,-0.511344,-0.522593,0.0,-0.573523,11,-1
11,valkyrie@59b96b5,valkyrie,59b96b5,168,47,0,121,0.2798,-0.322217,-56.0,-0.322217,-0.511344,-0.522593,0.0,-0.573523,11,0
12,vigil@59b96b5,vigil,59b96b5,168,43,5,120,0.2708,-0.32382,-56.3,-0.32382,-0.352394,-0.461134,0.0,-0.565799,10,2
