match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
0019f85b10124407,vidar-sweep,odin@26c945b,odin,26c945b,pantheon_replica_day3@26c945b,pantheon_replica_day3,26c945b,vault,official,1,0,rating,b,b,0.0,core_destroyed,105,,8,250,10,24,33,470,4,55,ok,,3.172,bob-a,,2026-08-04T21:37:27+0200
001cb3f50842f463,vidar-sweep,pantheon_replica_day3@26c945b,pantheon_replica_day3,26c945b,vidar2_c2@26c945b,vidar2_c2,26c945b,vault,official,1,0,rating,a,a,1.0,core_destroyed,79,,35,340,4,42,77,350,8,10,ok,,3.85,bob-a,,2026-08-04T21:30:55+0200
004c9848b6b9833c,vidar-sweep,steward@26c945b,steward,26c945b,vidar2_b3@26c945b,vidar2_b3,26c945b,sweden,official,1,0,rating,b,b,0.0,core_destroyed,453,,372,1910,8,18,10,0,5,14,ok,,8.261,bob-a,,2026-08-04T21:35:55+0200
005a784755695923,vidar-sweep,vidar2_c2@26c945b,vidar2_c2,26c945b,vidar2@26c945b,vidar2,26c945b,skerry,official,1,0,rating,b,b,0.0,titanium_collected,1000,,13293,11930,5,76,15555,13990,5,60,ok,,4.849,bob-a,,2026-08-04T21:38:13+0200
00634b98a2599c8f,vidar-sweep,vidar2@26c945b,vidar2,26c945b,vidar2_g3@26c945b,vidar2_g3,26c945b,twins,official,1,0,rating,a,a,1.0,core_destroyed,138,,2,860,6,58,780,900,6,26,ok,,3.585,bob-a,,2026-08-04T21:38:32+0200
00830c4594e30825,vidar-sweep,odin@26c945b,odin,26c945b,vidar2_g3@26c945b,vidar2_g3,26c945b,quarry,official,1,0,rating,a,a,1.0,core_destroyed,109,,54,870,8,48,10,580,6,47,ok,,3.492,bob-a,,2026-08-04T21:31:43+0200
00920792dcad54dc,vidar-sweep,ragnarok@26c945b,ragnarok,26c945b,vidar2_c2@26c945b,vidar2_c2,26c945b,bridge,official,1,0,rating,b,b,0.0,core_destroyed,209,,286,300,4,15,48,610,10,11,ok,,4.354,bob-a,,2026-08-04T21:30:07+0200
00c9a5cbe799e70c,vidar-sweep,steward@26c945b,steward,26c945b,vidar2_g3@26c945b,vidar2_g3,26c945b,fjord,official,1,0,rating,a,a,1.0,core_destroyed,238,,76,2780,9,77,10,1680,7,54,ok,,6.261,bob-a,,2026-08-04T21:33:28+0200
00cd27cc1465cf20,vidar-sweep,vidar2_b3@26c945b,vidar2_b3,26c945b,steward@26c945b,steward,26c945b,skerry,official,1,0,rating,a,a,1.0,core_destroyed,118,,71,730,9,22,53,1030,8,51,ok,,3.783,bob-a,,2026-08-04T21:35:47+0200
00dbe0784a69eb2f,vidar-sweep,prospect@26c945b,prospect,26c945b,vidar2_c2@26c945b,vidar2_c2,26c945b,vault,official,1,0,rating,a,a,1.0,core_destroyed,73,,8,310,5,7,0,270,8,11,ok,,3.301,bob-a,,2026-08-04T21:30:38+0200
00de6117af57bb02,vidar-sweep,vidar2_c2@26c945b,vidar2_c2,26c945b,prospect@26c945b,prospect,26c945b,fjord,official,1,0,rating,b,b,0.0,titanium_collected,1000,,7026,7440,8,42,16262,19060,9,64,ok,,7.345,bob-a,,2026-08-04T21:30:27+0200
00df9719b629ca33,vidar-sweep,vidar2_b3@26c945b,vidar2_b3,26c945b,odin@26c945b,odin,26c945b,sprint,official,1,0,rating,a,a,1.0,core_destroyed,85,,10,0,6,1,10,0,7,0,ok,,2.82,bob-a,,2026-08-04T21:34:13+0200
0104fed9451e4c45,vidar-sweep,vidar2_b3@26c945b,vidar2_b3,26c945b,prospect@26c945b,prospect,26c945b,jackpot,official,1,0,rating,a,a,1.0,core_destroyed,139,,100,880,6,28,152,710,7,24,ok,,4.251,bob-a,,2026-08-04T21:35:12+0200
0142463fb5e14104,vidar-sweep,vidar2@26c945b,vidar2,26c945b,vidar2_c2@26c945b,vidar2_c2,26c945b,quarry,official,1,0,rating,a,a,1.0,titanium_collected,1000,,17170,17620,6,154,17140,16990,7,130,ok,,12.86,bob-a,,2026-08-04T21:38:20+0200
014542b9a6522f4a,vidar-sweep,prospect@26c945b,prospect,26c945b,vidar2_c2@26c945b,vidar2_c2,26c945b,quarry,official,1,0,rating,a,a,1.0,core_destroyed,93,,48,660,9,33,10,360,5,31,ok,,3.487,bob-a,,2026-08-04T21:30:28+0200
0147266ebf03d3e4,vidar-sweep,vidar2@26c945b,vidar2,26c945b,tyr@26c945b,tyr,26c945b,vase,official,1,0,rating,a,a,1.0,titanium_stored,1000,,4717,2460,3,11,4629,2460,5,7,ok,,4.333,bob-a,,2026-08-04T21:27:29+0200
01543c7d730665d7,vidar-sweep,vidar2_c2@26c945b,vidar2_c2,26c945b,vidar2_g3@26c945b,vidar2_g3,26c945b,quarry,official,1,0,rating,b,b,0.0,titanium_collected,1000,,20527,19680,4,129,23764,24000,9,151,ok,,8.666,bob-a,,2026-08-04T21:39:01+0200
018a19e20ff16156,vidar-sweep,odin@26c945b,odin,26c945b,pantheon_replica_day3@26c945b,pantheon_replica_day3,26c945b,pinch,official,1,0,rating,a,a,1.0,core_destroyed,105,,39,290,7,14,430,640,2,51,ok,,3.153,bob-a,,2026-08-04T21:37:20+0200
018e355b7fbb4dae,vidar-sweep,vidar2_c2@26c945b,vidar2_c2,26c945b,ragnarok@26c945b,ragnarok,26c945b,twins,official,1,0,rating,a,a,1.0,core_destroyed,129,,70,730,5,54,750,950,7,54,ok,,3.52,bob-a,,2026-08-04T21:30:18+0200
01bb3932e0ea1417,vidar-sweep,vigil@26c945b,vigil,26c945b,vidar2_b3@26c945b,vidar2_b3,26c945b,sweden,official,1,0,rating,b,b,0.0,core_destroyed,234,,1738,1470,5,44,10,0,8,31,ok,,3.879,bob-a,,2026-08-04T21:34:52+0200
01c10cc99d344f99,vidar-sweep,tyr@26c945b,tyr,26c945b,odin@26c945b,odin,26c945b,sprint,official,1,0,rating,b,b,0.0,core_destroyed,149,,10,0,5,0,9,0,8,1,ok,,2.238,bob-a,,2026-08-04T21:36:21+0200
01d8133f07e556da,vidar-sweep,vidar2@26c945b,vidar2,26c945b,vidar2_b3@26c945b,vidar2_b3,26c945b,strait,official,1,0,rating,a,a,1.0,core_destroyed,136,,20,960,8,63,710,1210,7,42,ok,,4.072,bob-a,,2026-08-04T21:38:46+0200
01ebd982dccb4301,vidar-sweep,tyr@26c945b,tyr,26c945b,vidar2_c2@26c945b,vidar2_c2,26c945b,aurora,official,1,0,rating,a,a,1.0,core_destroyed,87,,10,510,8,40,7,350,8,32,ok,,3.267,bob-a,,2026-08-04T21:29:30+0200
01ee8fffdfab654d,vidar-sweep,odin@26c945b,odin,26c945b,vidar2@26c945b,vidar2,26c945b,jackpot,official,1,0,rating,b,b,0.0,titanium_collected,1000,,6148,5030,5,26,12614,11690,5,45,ok,,7.18,bob-a,,2026-08-04T21:27:06+0200
0216f64650175cc9,vidar-sweep,vigil@26c945b,vigil,26c945b,vidar2@26c945b,vidar2,26c945b,longship,official,1,0,rating,b,b,0.0,core_destroyed,439,,3634,3900,11,20,3550,5280,7,68,ok,,7.855,bob-a,,2026-08-04T21:27:42+0200
021f1a879446c9f7,vidar-sweep,vidar2@26c945b,vidar2,26c945b,ragnarok@26c945b,ragnarok,26c945b,sweden,official,1,0,rating,a,a,1.0,core_destroyed,183,,441,1480,9,30,223,110,6,9,ok,,5.118,bob-a,,2026-08-04T21:28:01+0200
022c81f8a85f05d1,vidar-sweep,steward@26c945b,steward,26c945b,vidar2_b3@26c945b,vidar2_b3,26c945b,sprint,official,1,0,rating,a,a,1.0,core_destroyed,81,,10,0,6,1,10,0,7,2,ok,,2.431,bob-a,,2026-08-04T21:35:47+0200
02360e9d30d7d8be,vidar-sweep,vidar2_g3@26c945b,vidar2_g3,26c945b,valkyrie@26c945b,valkyrie,26c945b,atoll,official,1,0,rating,a,a,1.0,core_destroyed,428,,1789,3550,18,39,1975,2720,6,92,ok,,7.906,bob-a,,2026-08-04T21:33:42+0200
023ba93ff2c1421a,vidar-sweep,vidar2_g3@26c945b,vidar2_g3,26c945b,odin@26c945b,odin,26c945b,twins,official,1,0,rating,a,a,1.0,core_destroyed,164,,113,990,9,57,1140,1290,8,21,ok,,4.289,bob-a,,2026-08-04T21:31:50+0200
025ae5df677034bb,vidar-sweep,vidar2_g3@26c945b,vidar2_g3,26c945b,steward@26c945b,steward,26c945b,showdown,official,1,0,rating,b,b,0.0,core_destroyed,137,,10,0,7,8,9,0,7,1,ok,,3.03,bob-a,,2026-08-04T21:33:31+0200
029cf100f7101bde,vidar-sweep,vigil@26c945b,vigil,26c945b,odin@26c945b,odin,26c945b,twins,official,1,0,rating,a,a,1.0,core_destroyed,87,,12,200,7,8,8,50,8,7,ok,,3.55,bob-a,,2026-08-04T21:36:43+0200
02a56282ae55e476,vidar-sweep,vidar2_b3@26c945b,vidar2_b3,26c945b,vigil@26c945b,vigil,26c945b,sweden,official,1,0,rating,a,a,1.0,core_destroyed,164,,85,1120,10,28,66,260,6,9,ok,,3.901,bob-a,,2026-08-04T21:34:52+0200
02d30bbb5ad29b37,vidar-sweep,vidar2@26c945b,vidar2,26c945b,odin@26c945b,odin,26c945b,longship,official,1,0,rating,a,a,1.0,core_destroyed,74,,23,400,7,35,63,340,10,26,ok,,3.266,bob-a,,2026-08-04T21:27:02+0200
02d6531b58c32713,vidar-sweep,valkyrie@26c945b,valkyrie,26c945b,vidar2_g3@26c945b,vidar2_g3,26c945b,vault,official,1,0,rating,b,b,0.0,titanium_collected,1000,,79,4950,6,89,10881,11620,6,29,ok,,19.23,bob-a,,2026-08-04T21:34:14+0200
02da8b1fefa22954,vidar-sweep,pantheon_replica_day3@26c945b,pantheon_replica_day3,26c945b,odin@26c945b,odin,26c945b,sprint,official,1,0,rating,a,a,1.0,titanium_collected,1000,,7658,6690,7,26,20,0,3,1,ok,,4.957,bob-a,,2026-08-04T21:37:25+0200
0307a88149056abf,vidar-sweep,vidar2_b3@26c945b,vidar2_b3,26c945b,pantheon_replica_day3@26c945b,pantheon_replica_day3,26c945b,aurora,official,1,0,rating,a,a,1.0,core_destroyed,123,,122,820,9,40,688,1110,2,66,ok,,3.934,bob-a,,2026-08-04T21:35:23+0200
030f7b970b28d954,vidar-sweep,vidar2@26c945b,vidar2,26c945b,vidar2_b3@26c945b,vidar2_b3,26c945b,showdown,official,1,0,rating,a,a,1.0,core_destroyed,153,,9,0,6,1,10,0,4,1,ok,,1.949,bob-a,,2026-08-04T21:38:41+0200
032bf9abb6bcca9c,vidar-sweep,vigil@26c945b,vigil,26c945b,odin@26c945b,odin,26c945b,crossfire,official,1,0,rating,b,b,0.0,core_destroyed,147,,471,660,7,9,20,720,7,13,ok,,3.617,bob-a,,2026-08-04T21:36:31+0200
033cfad1809949bc,vidar-sweep,vigil@26c945b,vigil,26c945b,vidar2_b3@26c945b,vidar2_b3,26c945b,duel,official,1,0,rating,a,a,1.0,core_destroyed,107,,16,490,8,10,18,90,5,14,ok,,3.353,bob-a,,2026-08-04T21:34:42+0200
0352afb5d6bd8440,vidar-sweep,vidar2_b3@26c945b,vidar2_b3,26c945b,vidar2_g3@26c945b,vidar2_g3,26c945b,hive,official,1,0,rating,a,a,1.0,titanium_collected,1000,,13178,13870,11,138,9840,9280,5,92,ok,,26.198,bob-a,,2026-08-04T21:39:50+0200
035dcd33c20cc9d8,vidar-sweep,vidar2_c2@26c945b,vidar2_c2,26c945b,pantheon_replica_day3@26c945b,pantheon_replica_day3,26c945b,duel,official,1,0,rating,a,a,1.0,core_destroyed,64,,14,150,7,5,40,180,6,13,ok,,3.253,bob-a,,2026-08-04T21:30:41+0200
03789b4453f2c7c5,vidar-sweep,tyr@26c945b,tyr,26c945b,vidar2_c2@26c945b,vidar2_c2,26c945b,atoll,official,1,0,rating,a,a,1.0,titanium_collected,1000,,13104,11850,6,36,6630,4950,6,36,ok,,5.597,bob-a,,2026-08-04T21:29:31+0200
0395128764a262e0,vidar-sweep,prospect@26c945b,prospect,26c945b,odin@26c945b,odin,26c945b,vase,official,1,0,rating,a,a,1.0,titanium_collected,1000,,3722,2460,8,7,1742,340,3,10,ok,,9.032,bob-a,,2026-08-04T21:37:20+0200
03ac01613937274e,vidar-sweep,steward@26c945b,steward,26c945b,vidar2_c2@26c945b,vidar2_c2,26c945b,string,official,1,0,rating,b,b,0.0,core_destroyed,140,,46,790,2,10,66,1170,9,17,ok,,5.355,bob-a,,2026-08-04T21:31:10+0200
03c3917c1eda5731,vidar-sweep,odin@26c945b,odin,26c945b,vidar2_c2@26c945b,vidar2_c2,26c945b,sprint,official,1,0,rating,b,b,0.0,core_destroyed,145,,10,0,6,0,10,0,5,1,ok,,3.181,bob-a,,2026-08-04T21:29:22+0200
03d14782dd3737b3,vidar-sweep,vidar2_b3@26c945b,vidar2_b3,26c945b,steward@26c945b,steward,26c945b,strait,official,1,0,rating,a,a,1.0,core_destroyed,178,,1,910,10,38,94,1390,8,70,ok,,5.704,bob-a,,2026-08-04T21:35:50+0200
04829ae0562d85d4,vidar-sweep,pantheon_replica_day3@26c945b,pantheon_replica_day3,26c945b,vidar2@26c945b,vidar2,26c945b,sprint,official,1,0,rating,b,b,0.0,core_destroyed,425,,900,1330,6,35,10,0,2,2,ok,,4.694,bob-a,,2026-08-04T21:28:27+0200
